size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 27, 4,12,  5,  6, combine, 22,0.19,   0.001,"[1,1 16 0,15,5,2,2,11 6,1,7,12,2 9,13,10,0,1,8,1,14,0,3 0,0,3]","[3,1,10,12,1 16 0,8,2,14,1,3 0,2 9,1,2,5,0,11 6,15,0,13,1,0,7]"
 27, 4,12,  5,  6,combineS, 22,0.19,   0.000,"[1,1 16 0,15,5,2,2,11 6,1,7,12,2 9,13,10,0,1,8,1,14,0,3 0,0,3]","[3,1,10,12,1 16 0,8,2,14,1,3 0,2 9,1,2,5,0,11 6,15,0,13,1,0,7]"
 27, 4,12,  5,  6,  greedy, 22,0.19,   0.001,"[1,1 16 0,15,5,2,2,11 6,1,7,12,2 9,13,10,0,1,8,1,14,0,3 0,0,3]","[3,1,10,12,1 16 0,8,2,14,1,3 0,2 9,1,2,5,0,11 6,15,0,13,1,0,7]"
 27, 4,12,  5,  6,     pso, 22,0.19,   0.425,"[1,1 16 0,15,5,2,2,11 6,1,7,12,2 9,13,10,0,1,8,1,14,0,3 0,0,3]","[3,1,10,12,1 16 0,8,2,14,1,3 0,2 9,1,2,5,0,11 6,15,0,13,1,0,7]"
 50, 7, 7, 11, 53, combine, 34,0.33,   0.000,"[5 10,1 1,5,13 4,3 0 5,5,1,1 5 5,9,11,1,1 5 0,6 5,1,0,6,6,5 0,5,4,2,7,6,1,2,3,3 1,0 5 2,4,3,12,8 1,1 3,2]","[0 5 2,2,13 4,5,5,12,2,11,8 1,3 0 5,1 5 0,1,6,1 5 5,2,9,1,5 0,1 1,3,0,1,5,6,4,4,1,7,5 10,3 1,6 5,3,1 3,6]"
 50, 7, 7, 11, 53,combineS, 34,0.33,   0.001,"[5 10,1 1,5,13 4,3 0 5,5,1,1 5 5,9,11,1,1 5 0,6 5,1,0,6,6,5 0,5,4,2,7,6,1,2,3,3 1,0 5 2,4,3,12,8 1,1 3,2]","[0 5 2,2,13 4,5,5,12,2,11,8 1,3 0 5,1 5 0,1,6,1 5 5,2,9,1,5 0,1 1,3,0,1,5,6,4,4,1,7,5 10,3 1,6 5,3,1 3,6]"
 50, 7, 7, 11, 53,  greedy, 35,0.31,   0.004,"[5 10,1,1 5,13 4,3 0 5,5,1,1 5 5,9,11,1,1 5 0,6 5,1,0,6,6,5,0,5,4,2,7,6,1,2,3,3 1,0 5 2,4,3,12,8,1 1 3,2]","[0 5 2,2,13 4,5,5,12,2,11,8,1,3 0 5,1 5 0,1,6,1 5 5,2,9,1 5,0,1 1 3,0,1,5,6,4,4,1,7,5 10,3 1,6 5,3,1,3,6]"
 50, 7, 7, 11, 53,     pso, 33,0.35,   6.197,"[5 10,1,1 5,13 4,3 0,5 5,1 1,5 5,9,11,1,1 5 0,6 5,1,0,6,6,5,0 5,4,2,7,6 1,2,3,3 1,0 5 2,4,3,12,8 1,1 3,2]","[0 5 2,2,13 4,5 5,12,2,11,8 1,3,0 5,1 5 0,1,6 1,5 5,2,9,1 5,0,1 1,3 0,1,5,6,4,4,1,7,5 10,3 1,6 5,3,1 3,6]"
 73, 7,12, 13, 81, combine, 53,0.28,   0.001,"[0,3 0,1 3 4,3 2 5,3,8,1 5,6,16,3,10,2,0,4 6,4 17,4 12,4 2,6,4,6,5 3,1,0,2 5,13 2,11,4,5,7,2,2,1 3,0,1,5,0,14,1,3 3,2 5,15 1,1,3 2,9,5,5,3,3 4,3,1,18,6 2,5]","[14,0,11,4 12,2 5,5,1,4,0,5,1 3 4,6,3,5,8,3,9,1,3 0,0,18,4 6,5 3,3 2 5,1,4,13 2,2,10,16,6,3 2,4 17,0,0,1 3,5,2,7,3,5,1,6,2 5,1,6 2,3 4,3 3,3,15 1,2,1 5,4 2]"
 73, 7,12, 13, 81,combineS, 53,0.28,   0.001,"[0,3 0,1 3 4,3 2 5,3,8,1 5,6,16,3,10,2,0,4 6,4 17,4 12,4 2,6,4,6,5 3,1,0,2 5,13 2,11,4,5,7,2,2,1 3,0,1,5,0,14,1,3 3,2 5,15 1,1,3 2,9,5,5,3,3 4,3,1,18,6 2,5]","[14,0,11,4 12,2 5,5,1,4,0,5,1 3 4,6,3,5,8,3,9,1,3 0,0,18,4 6,5 3,3 2 5,1,4,13 2,2,10,16,6,3 2,4 17,0,0,1 3,5,2,7,3,5,1,6,2 5,1,6 2,3 4,3 3,3,15 1,2,1 5,4 2]"
