size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 65, 9,24, 11, 15,  0,     pso, 58,0.11,   2.932,"[27,9,32,7,5 1,10,4,23 7,15,8,5,7,18,19,6,7 3,7 2,8 16,3,8,24,7,3,8,8,7,6,4 7,20,7,6,7,31,26,1 4,25,0,13,22,17,29,5,2,21,1,14,1,12,0,4,7,11,2,28,30,3,5,0]","[27,30,21,28,0,24,12,15,5,6,1,5,8,3,5 1,7,7,8,14,6,2,11,7,22,1,32,0,10,0,17,4,1 4,18,7 2,7,8,4,7 3,4 7,26,7,23 7,6,20,31,9,13,7,29,3,3,7,19,2,5,8 16,25,8]"
 39, 8,16,  4,  4,   , combine, 35,0.11,   0.000,"[4,6,12 5,23,7,7,15,5 2,0,9,10,5,3,13,7,16,18,22,20,4,19,4,21,2,8,14,0,4 3,3 6,1,0,17,2,1,11]","[9,18,4 3,2,19,2,5 2,3 6,6,4,8,15,7,11,0,7,23,0,22,3,12 5,14,4,17,1,10,21,1,16,4,5,0,7,13,20]"
 39, 8,16,  4,  4,   ,combineS, 35,0.11,   0.001,"[4,6,12 5,23,7,7,15,5 2,0,9,10,5,3,13,7,16,18,22,20,4,19,4,21,2,8,14,0,4 3,3 6,1,0,17,2,1,11]","[9,18,4 3,2,19,2,5 2,3 6,6,4,8,15,7,11,0,7,23,0,22,3,12 5,14,4,17,1,10,21,1,16,4,5,0,7,13,20]"
 39, 8,16,  4,  4,   ,  greedy, 35,0.11,   0.004,"[4,6,12 5,23,7,7,15,5 2,0,9,10,5,3,13,7,16,18,22,20,4,19,4,21,2,8,14,0,4 3,3 6,1,0,17,2,1,11]","[9,18,4 3,2,19,2,5 2,3 6,6,4,8,15,7,11,0,7,23,0,22,3,12 5,14,4,17,1,10,21,1,16,4,5,0,7,13,20]"
 39, 8,16,  4,  4,  0,     pso, 35,0.11,   0.492,"[4,6,12 5,23,7,7,15,5 2,0,9,10,5,3,13,7,16,18,22,20,4,19,4,21,2,8,14,0,4 3,3 6,1,0,17,2,1,11]","[9,18,4 3,2,19,2,5 2,3 6,6,4,8,15,7,11,0,7,23,0,22,3,12 5,14,4,17,1,10,21,1,16,4,5,0,7,13,20]"
 45, 4,28,  5,  5,   , combine, 42,0.07,   0.000,"[29,13,7,34,8,27,6,6,14,11,0,22,6,0,25,23,32 5,28,26,17,20,7,16,5,0,5,12,7,18,33,9,30,35,15,5 5 7,0,24,19,21,31,10,0]","[0,11,7,5,29,0,32 5,31,15,6,7,22,30,6,25,26,12,16,7,0,13,34,6,5 5 7,33,17,9,24,0,8,35,0,10,21,19,18,28,27,20,23,14,5]"
 45, 4,28,  5,  5,   ,combineS, 42,0.07,   0.001,"[29,13,7,34,8,27,6,6,14,11,0,22,6,0,25,23,32 5,28,26,17,20,7,16,5,0,5,12,7,18,33,9,30,35,15,5 5 7,0,24,19,21,31,10,0]","[0,11,7,5,29,0,32 5,31,15,6,7,22,30,6,25,26,12,16,7,0,13,34,6,5 5 7,33,17,9,24,0,8,35,0,10,21,19,18,28,27,20,23,14,5]"
 45, 4,28,  5,  5,   ,  greedy, 42,0.07,   0.006,"[29,13,7,34,8,27,6,6,14,11,0,22,6,0,25,23,32 5,28,26,17,20,7,16,5,0,5,12,7,18,33,9,30,35,15,5 5 7,0,24,19,21,31,10,0]","[0,11,7,5,29,0,32 5,31,15,6,7,22,30,6,25,26,12,16,7,0,13,34,6,5 5 7,33,17,9,24,0,8,35,0,10,21,19,18,28,27,20,23,14,5]"
 45, 4,28,  5,  5,  0,     pso, 42,0.07,   0.429,"[29,13,7,34,8,27,6,6,14,11,0,22,6,0,25,23,32 5,28,26,17,20,7,16,5,0,5,12,7,18,33,9,30,35,15,5 5 7,0,24,19,21,31,10,0]","[0,11,7,5,29,0,32 5,31,15,6,7,22,30,6,25,26,12,16,7,0,13,34,6,5 5 7,33,17,9,24,0,8,35,0,10,21,19,18,28,27,20,23,14,5]"
 48, 8,16,  8, 17,   , combine, 37,0.23,   0.000,"[3,8,9 1,0,20,19,8,0,8 8 24,15,0 1,9 0,11,1 8,7,9,8 3 9,12,3,21,10,9,8 22,16,17,1,2,4,7,4,4,23,25,18,14 0,2,13 8]","[15,21,4,18,9,4,2,11,0 1,17,9 1,9,14 0,4,19,0,2,7,8,10,8 3 9,3,20,23,8 8 24,1 8,12,16,8,13 8,8 22,9 0,3,1,0,7,25]"
