size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
18,3,11,3,3,,combine,16,0.11764705882352941,0.0,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]",2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,11,3,3,,combineS,16,0.11764705882352941,0.0,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]",2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,11,3,3,,greedy,16,0.11764705882352941,0.001,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]",2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,11,3,3,0,pso,16,0.11764705882352941,0.291,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]",2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,11,3,3,0,psoPure,16,0.11764705882352941,0.285,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]",2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,11,3,3,0,psoComb,16,0.11764705882352941,1.462,"[2,0,4 13,7 0,8,10,5,2,11,6,3,12,9,0,1,1]","[2,8,5,12,4 13,0,10,3,11,1,0,9,6,7 0,1,2]",2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,11,3,3,,FPT,15,0.17647058823529413,0.061,,,2 0 4 13 7 0 8 10 5 2 11 6 3 12 9 0 1 12 8 5 12 4 13 0 10 3 11 1 0 9 6 7 0 1 2
18,3,8,5,6,,combine,14,0.23529411764705882,0.0,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]",4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
18,3,8,5,6,,combineS,14,0.23529411764705882,0.0,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]",4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
18,3,8,5,6,,greedy,14,0.23529411764705882,0.001,"[4,0 5,0 3,8,0,2,2 7,1 0,1,2,0,10,9,6]","[2,10,2 7,6,0 5,1 0,4,1,0,8,2,0 3,9,0]",4 0 5 0 3 8 0 2 2 7 1 0 1 2 0 10 9 62 10 2 7 6 0 5 1 0 4 1 0 8 2 0 3 9 0
