size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 37, 6,12,  7, 10, combine, 31,0.17,   0.001,"[0 1,1,5,8,5,5,12 0,10,2,1,4 1,14,13,16,11,3,2 4,0,6,15 5,0,4,2,17,7,0,4 0,3,0,9,2]","[0,2,0,7,2 4,2,15 5,1,0,3,12 0,5,4,4 0,16,3,9,11,5,13,6,1,17,4 1,2,8,0,14,5,0 1,10]"
 37, 6,12,  7, 10,combineS, 31,0.17,   0.000,"[0 1,1,5,8,5,5,12 0,10,2,1,4 1,14,13,16,11,3,2 4,0,6,15 5,0,4,2,17,7,0,4 0,3,0,9,2]","[0,2,0,7,2 4,2,15 5,1,0,3,12 0,5,4,4 0,16,3,9,11,5,13,6,1,17,4 1,2,8,0,14,5,0 1,10]"
 37, 6,12,  7, 10,  greedy, 31,0.17,   0.003,"[0 1,1,5,8,5,5,12 0,10,2,1,4 1,14,13,16,11,3,2,4,0,6,15 5,0,4 2,17,7,0,4 0,3,0,9,2]","[0,2,0,7,2,4 2,15 5,1,0,3,12 0,5,4,4 0,16,3,9,11,5,13,6,1,17,4 1,2,8,0,14,5,0 1,10]"
 37, 6,12,  7, 10,     pso, 30,0.19,   0.819,"[0 1,1,5,8,5,5,12 0,10,2,1,4 1,14,13,16,11,3,2,4 0,6,15 5,0,4 2,17,7,0,4,0 3,0,9,2]","[0,2,0,7,2,4 2,15 5,1,0 3,12 0,5,4,4 0,16,3,9,11,5,13,6,1,17,4 1,2,8,0,14,5,0 1,10]"
 28, 7,10,  4,  5, combine, 24,0.15,   0.000,"[6,15,4,1,11,14,8,6,5,5,18,16,7 6,7,9,12 3 1,6,3,10,17 13,4,3,8,1]","[5,7 6,14,6,6,1,5,1,4,11,3,12 3 1,18,10,7,3,6,8,17 13,15,8,9,4,16]"
 28, 7,10,  4,  5,combineS, 24,0.15,   0.000,"[6,15,4,1,11,14,8,6,5,5,18,16,7 6,7,9,12 3 1,6,3,10,17 13,4,3,8,1]","[5,7 6,14,6,6,1,5,1,4,11,3,12 3 1,18,10,7,3,6,8,17 13,15,8,9,4,16]"
 28, 7,10,  4,  5,  greedy, 24,0.15,   0.001,"[6,15,4,1,11,14,8,6,5,5,18,16,7 6,7,9,12 3 1,6,3,10,17 13,4,3,8,1]","[5,7 6,14,6,6,1,5,1,4,11,3,12 3 1,18,10,7,3,6,8,17 13,15,8,9,4,16]"
 28, 7,10,  4,  5,     pso, 24,0.15,   0.266,"[6,15,4,1,11,14,8,6,5,5,18,16,7 6,7,9,12 3 1,6,3,10,17 13,4,3,8,1]","[5,7 6,14,6,6,1,5,1,4,11,3,12 3 1,18,10,7,3,6,8,17 13,15,8,9,4,16]"
 50, 9,17,  7, 12, combine, 42,0.16,   0.000,"[7 5,5,7 19,4,5,8,21,0 6,11,0,16,17,8,9,1,1,25,8,6 6 15,24,10,13,6 22,23,6,8 7,14,20,2,26,2,8,6,7,7,9,0,18,0,12,4,2 6]","[8 7,4,0 6,0,0,5,17,7,2 6,7 19,20,8,7 5,1,4,16,12,11,18,13,8,2,1,26,6,9,10,14,24,0,6 6 15,21,2,7,6,25,9,5,6 22,8,8,23]"
 50, 9,17,  7, 12,combineS, 42,0.16,   0.001,"[7 5,5,7 19,4,5,8,21,0 6,11,0,16,17,8,9,1,1,25,8,6 6 15,24,10,13,6 22,23,6,8 7,14,20,2,26,2,8,6,7,7,9,0,18,0,12,4,2 6]","[8 7,4,0 6,0,0,5,17,7,2 6,7 19,20,8,7 5,1,4,16,12,11,18,13,8,2,1,26,6,9,10,14,24,0,6 6 15,21,2,7,6,25,9,5,6 22,8,8,23]"
 50, 9,17,  7, 12,  greedy, 42,0.16,   0.006,"[7 5,5,7 19,4,5,8,21,0 6,11,0,16,17,8,9,1,1,25,8,6 6 15,24,10,13,6 22,23,6,8 7,14,20,2,26,2,8,6,7,7,9,0,18,0,12,4,2 6]","[8 7,4,0 6,0,0,5,17,7,2 6,7 19,20,8,7 5,1,4,16,12,11,18,13,8,2,1,26,6,9,10,14,24,0,6 6 15,21,2,7,6,25,9,5,6 22,8,8,23]"
 50, 9,17,  7, 12,     pso, 42,0.16,   1.044,"[7 5,5,7 19,4,5,8,21,0 6,11,0,16,17,8,9,1,1,25,8,6 6 15,24,10,13,6 22,23,6,8 7,14,20,2,26,2,8,6,7,7,9,0,18,0,12,4,2 6]","[8 7,4,0 6,0,0,5,17,7,2 6,7 19,20,8,7 5,1,4,16,12,11,18,13,8,2,1,26,6,9,10,14,24,0,6 6 15,21,2,7,6,25,9,5,6 22,8,8,23]"
 80, 5,13, 17,146, combine, 56,0.30,   0.000,"[3,4 4,3,4,3,4 2,2 3,12,2 4,1 4,2 0,4,10,1 0,1 1,4,13 1 3,3 0 3,4,3 1,6,2,1,0 3,11,2 0,14,5,2,1,0,0 4 2,8,4,3 3,0 1,3 3,1,3,16,0,3 1,1 1,2,15,1,3 7,2,2,2,9,0,4 1,3,0,17]","[9,3 3,3 1,3,1 4,0,12,0,2 0,2 0,0 3,1 1,3 7,11,1,2,1 0,4 2,6,3 1,15,4 1,4,2,5,13 1 3,14,0,3 0 3,3,2 3,2,0 1,16,4,2 4,0,10,4 4,1 1,1,4,0 4 2,3,2,17,3,2,4,1,4,1,3 3,8,2,3]"
 80, 5,13, 17,146,combineS, 55,0.32,   0.001,"[3,4 4,3,4,3,4 2,2 3,12,2 4,1 4,2 0,4,10,1 0,1 1,4,13 1 3,3 0 3,4,3 1,6,2,1,0 3,11,2 0,14,5,2,1,0,0 4 2,8,4,3 3,0 1,3 3,1,3,16,0,3 1,1,1 2,15,1 3 7,2,2,2,9,0,4 1,3,0,17]","[9,3 3,3 1,3,1 4,0,12,0,2 0,2 0,0 3,1,1 3 7,11,1 2,1 0,4 2,6,3 1,15,4 1,4,2,5,13 1 3,14,0,3 0 3,3,2 3,2,0 1,16,4,2 4,0,10,4 4,1 1,1,4,0 4 2,3,2,17,3,2,4,1,4,1,3 3,8,2,3]"
 80, 5,13, 17,146,  greedy, 52,0.35,   0.012,"[3,4 4,3,4,3,4 2,2 3,12,2,4 1 4 2,0,4,10,1,0,1 1 4,13 1 3,3 0 3,4,3 1,6,2 1 0,3,11,2 0,14,5,2,1,0,0 4 2,8,4,3,3,0 1,3 3 1 3,16,0 3 1 1,1,2,15,1,3 7,2,2,2,9,0,4 1 3,0,17]","[9,3,3 3 1 3,1,4,0,12,0,2 0,2,0,0 3 1 1,3 7,11,1,2 1 0,4 2,6,3 1,15,4 1 4 2,5,13 1 3,14,0,3 0 3,3,2,3,2,0 1,16,4,2,4,0,10,4 4,1,1 1 4,0 4 2,3,2,17,3,2,4,1,4 1 3,3,8,2 3]"
 80, 5,13, 17,146,     pso, 52,0.35,  21.813,"[3,4 4,3,4,3,4 2,2 3,12,2,4 1 4 2,0,4,10,1,0,1 1 4,13 1 3,3 0 3,4,3 1,6,2 1 0,3,11,2 0,14,5,2,1,0,0 4 2,8,4,3,3,0 1,3 3 1 3,16,0 3 1 1,1,2,15,1,3 7,2,2,2,9,0,4 1 3,0,17]","[9,3,3 3 1 3,1,4,0,12,0,2 0,2,0,0 3 1 1,3 7,11,1,2 1 0,4 2,6,3 1,15,4 1 4 2,5,13 1 3,14,0,3 0 3,3,2,3,2,0 1,16,4,2,4,0,10,4 4,1,1 1 4,0 4 2,3,2,17,3,2,4,1,4 1 3,3,8,2 3]"
 45, 8,17,  7, 11, combine, 38,0.16,   0.000,"[6,20,7,19,4,21,5,13 3,6,18,2,23,12,7 5,0,1 4,14,4,4 3,1,22,25,15,7,4 5 2,16,0,10,2,3,0,24,17,1,4,9,5,11 4]","[16,17,24,1,0,4,7 5,11 4,13 3,5,12,22,19,9,10,0,4 5 2,4,2,18,6,14,23,20,4,0,2,7,1 4,1,5,3,21,15,25,4 3,7,6]"
 45, 8,17,  7, 11,combineS, 38,0.16,   0.000,"[6,20,7,19,4,21,5,13 3,6,18,2,23,12,7,5,0,1 4,14,4,4 3,1,22,25,15,7,4 5 2,16,0,10,2,3,0,24,17,1,4,9,5 11 4]","[16,17,24,1,0,4,7,5 11 4,13 3,5,12,22,19,9,10,0,4 5 2,4,2,18,6,14,23,20,4,0,2,7,1 4,1,5,3,21,15,25,4 3,7,6]"
 45, 8,17,  7, 11,  greedy, 38,0.16,   0.004,"[6,20,7,19,4,21,5,13 3,6,18,2,23,12,7,5,0,1,4,14,4,4 3,1,22,25,15,7,4 5 2,16,0,10,2,3,0,24,17,1 4,9,5 11 4]","[16,17,24,1,0,4,7,5 11 4,13 3,5,12,22,19,9,10,0,4 5 2,4,2,18,6,14,23,20,4,0,2,7,1 4,1,5,3,21,15,25,4 3,7,6]"
 45, 8,17,  7, 11,     pso, 38,0.16,   0.793,"[6,20,7,19,4,21,5,13 3,6,18,2,23,12,7,5,0,1,4,14,4,4 3,1,22,25,15,7,4 5 2,16,0,10,2,3,0,24,17,1 4,9,5 11 4]","[16,17,24,1,0,4,7,5 11 4,13 3,5,12,22,19,9,10,0,4 5 2,4,2,18,6,14,23,20,4,0,2,7,1 4,1,5,3,21,15,25,4 3,7,6]"
 62, 8,20,  7, 20, combine, 52,0.16,   0.000,"[7,2 5,6,17,3,8,0,7,4 0,11,0,4,3,6,12,0,3,27,22,1 5,2,5 5,1 7,5,5,16 7,18,9,25,6,13,6 2,19,15,4 2,20,6 6,10,0,26,1,14,6 21,2,5,7,7,4,23,24,2,1]","[2,6,25,5 5,20,4 0,3,5,22,6,5,0,17,26,4 2,7,27,7,0,1,9,0,6,8,3,2,24,6 21,4,2,4,16 7,1 5,2 5,10,15,19,5,12,3,13,1,6 2,14,7,23,18,0,11,7,6 6,1 7]"
 62, 8,20,  7, 20,combineS, 51,0.18,   0.001,"[7,2 5,6,17,3,8,0,7,4,0 11,0,4,3,6,12,0 3,27,22,1 5,2,5 5,1 7,5,5,16 7,18,9,25,6,13,6 2,19,15,4 2,20,6 6,10,0,26,1,14,6 21,2,5,7,7,4,23,24,2,1]","[2,6,25,5 5,20,4,0 3,5,22,6,5,0,17,26,4 2,7,27,7,0,1,9,0,6,8,3,2,24,6 21,4,2,4,16 7,1 5,2 5,10,15,19,5,12,3,13,1,6 2,14,7,23,18,0 11,7,6 6,1 7]"
 62, 8,20,  7, 20,  greedy, 50,0.20,   0.009,"[7,2,5,6,17,3,8,0,7,4,0 11,0,4,3,6,12,0 3,27,22,1 5 2 5,5,1 7,5 5,16 7,18,9,25,6,13,6 2,19,15,4 2,20,6 6,10,0,26,1,14,6 21,2,5,7,7,4,23,24,2,1]","[2,6,25,5 5,20,4,0 3,5,22,6,5,0,17,26,4 2,7,27,7,0,1,9,0,6,8,3,2,24,6 21,4,2,4,16 7,1 5 2 5,10,15,19,5,12,3,13,1,6 2,14,7,23,18,0 11,7,6 6,1 7]"
 62, 8,20,  7, 20,     pso, 50,0.20,   2.119,"[7,2,5,6,17,3,8,0,7,4,0 11,0,4,3,6,12,0 3,27,22,1 5 2 5,5,1 7,5 5,16 7,18,9,25,6,13,6 2,19,15,4 2,20,6 6,10,0,26,1,14,6 21,2,5,7,7,4,23,24,2,1]","[2,6,25,5 5,20,4,0 3,5,22,6,5,0,17,26,4 2,7,27,7,0,1,9,0,6,8,3,2,24,6 21,4,2,4,16 7,1 5 2 5,10,15,19,5,12,3,13,1,6 2,14,7,23,18,0 11,7,6 6,1 7]"
 57, 7,30,  6,  7, combine, 52,0.09,   0.000,"[19,3,36,35,12,0,28,3,5,15,26,30,9,14,24,32,0 0,10,27,8,1,20,11,6 2,0,2,6,21 1,13,2,3,7,4,1,34,4,17,23 5,2,25,5,5,31,6,29,0 0,4,6,18,33,22,16]","[0,12,21 1,9,6,4,32,20,26,2,19,8,0,1,31,15,23 5,28,1,0 0,3,24,5,17,34,18,13,11,22,4,14,6,36,3,4,27,2,5,29,6,0 0,5,10,30,3,6 2,7,16,25,35,33,2]"
 57, 7,30,  6,  7,combineS, 52,0.09,   0.001,"[19,3,36,35,12,0,28,3,5,15,26,30,9,14,24,32,0 0,10,27,8,1,20,11,6 2,0,2,6,21 1,13,2,3,7,4,1,34,4,17,23 5,2,25,5,5,31,6,29,0 0,4,6,18,33,22,16]","[0,12,21 1,9,6,4,32,20,26,2,19,8,0,1,31,15,23 5,28,1,0 0,3,24,5,17,34,18,13,11,22,4,14,6,36,3,4,27,2,5,29,6,0 0,5,10,30,3,6 2,7,16,25,35,33,2]"
 57, 7,30,  6,  7,  greedy, 52,0.09,   0.010,"[19,3,36,35,12,0,28,3,5,15,26,30,9,14,24,32,0 0,10,27,8,1,20,11,6 2,0,2,6,21 1,13,2,3,7,4,1,34,4,17,23 5,2,25,5,5,31,6,29,0 0,4,6,18,33,22,16]","[0,12,21 1,9,6,4,32,20,26,2,19,8,0,1,31,15,23 5,28,1,0 0,3,24,5,17,34,18,13,11,22,4,14,6,36,3,4,27,2,5,29,6,0 0,5,10,30,3,6 2,7,16,25,35,33,2]"
 57, 7,30,  6,  7,     pso, 52,0.09,   0.476,"[19,3,36,35,12,0,28,3,5,15,26,30,9,14,24,32,0 0,10,27,8,1,20,11,6 2,0,2,6,21 1,13,2,3,7,4,1,34,4,17,23 5,2,25,5,5,31,6,29,0 0,4,6,18,33,22,16]","[0,12,21 1,9,6,4,32,20,26,2,19,8,0,1,31,15,23 5,28,1,0 0,3,24,5,17,34,18,13,11,22,4,14,6,36,3,4,27,2,5,29,6,0 0,5,10,30,3,6 2,7,16,25,35,33,2]"
 31, 4,16,  7,  5, combine, 28,0.10,   0.000,"[5,9,15,3,14,21 1,1,6,22,20,7 3,12,6,18,16,1 3,13,3,3,5,10,3,19,8,17,1,11,3]","[14,16,10,5,15,5,8,1,21 1,7 3,1 3,3,6,3,9,3,22,19,18,3,13,1,17,11,12,20,6,3]"
 31, 4,16,  7,  5,combineS, 27,0.13,   0.000,"[5,9,15,3,14,21 1,1,6,22,20,7 3,12,6,18,16,1,3 13,3 3,5,10,3,19,8,17,1,11,3]","[14,16,10,5,15,5,8,1,21 1,7 3,1,3 3,6,3,9,3,22,19,18,3 13,1,17,11,12,20,6,3]"
 31, 4,16,  7,  5,  greedy, 27,0.13,   0.002,"[5,9,15,3,14,21 1,1,6,22,20,7 3,12,6,18,16,1,3 13,3 3,5,10,3,19,8,17,1,11,3]","[14,16,10,5,15,5,8,1,21 1,7 3,1,3 3,6,3,9,3,22,19,18,3 13,1,17,11,12,20,6,3]"
 31, 4,16,  7,  5,     pso, 27,0.13,   0.315,"[5,9,15,3,14,21 1,1,6,22,20,7 3,12,6,18,16,1,3 13,3 3,5,10,3,19,8,17,1,11,3]","[14,16,10,5,15,5,8,1,21 1,7 3,1,3 3,6,3,9,3,22,19,18,3 13,1,17,11,12,20,6,3]"
 42, 7, 7,  7, 34, combine, 30,0.29,   0.000,"[1,0 5,5,5 3,2 1,2 4,0 2,4,13,2 6,2,3 2 0,0,4 3,7,8,9,12,4 5,1,4,0,5,2 4,6,3,6 4,11,3,10]","[2 1,4 3,3,3,1,2 6,2 4,8,7,3 2 0,4 5,4,10,5,6,5,4,0 5,1,13,5 3,6 4,9,0 2,2 4,11,2,0,0,12]"
 42, 7, 7,  7, 34,combineS, 31,0.27,   0.000,"[1,0 5,5,5 3,2 1,2 4,0 2,4,13,2 6,2,3 2 0,0,4 3,7,8,9,12,4 5,1,4,0,5,2,4,6,3,6,4 11,3,10]","[2 1,4 3,3,3,1,2 6,2 4,8,7,3 2 0,4 5,4,10,5,6,5,4,0 5,1,13,5 3,6,4,9,0 2,2,4 11,2,0,0,12]"
 42, 7, 7,  7, 34,  greedy, 29,0.32,   0.002,"[1,0,5,5,5,3,2 1,2,4,0 2,4,13,2 6 2,3,2 0 0,4 3,7,8,9,12,4 5,1,4 0 5,2 4,6,3 6 4,11,3,10]","[2 1,4 3,3,3,1,2 6 2,4,8,7,3,2,0,4 5,4,10,5,6,5,4 0 5,1,13,5,3 6 4,9,0 2,2 4,11,2 0 0,12]"
 42, 7, 7,  7, 34,     pso, 29,0.32,   3.189,"[1,0,5,5,5,3,2 1,2,4,0 2,4,13,2 6 2,3,2 0 0,4 3,7,8,9,12,4 5,1,4 0 5,2 4,6,3 6 4,11,3,10]","[2 1,4 3,3,3,1,2 6 2,4,8,7,3,2,0,4 5,4,10,5,6,5,4 0 5,1,13,5,3 6 4,9,0 2,2 4,11,2 0 0,12]"
 78, 7,12, 14, 85, combine, 58,0.26,   0.000,"[1 2,0 4 4,1 0 6 1,0,4 6,6 2,9,1 5,7,4,13,6,5,6 2,6,0 6,2 1,1 4,4 3,14,8,1,4,4,4 5,3,3,2,1,0,2,12,10,0 1,4,11,1,6,5 3,1,0,1,4,17,5,3,16,2 2,15,4 3,2,6 1,1,3,0,0,18,0]","[4,0 4 4,7,18,2 2,4,1 2,13,5,2 1,6,17,3,9,4 3,6 2,2,4 5,1,14,0,16,8,0,0 6,4 3,1 5,4,3,4,1,1,1,12,6,1 4,0,1 0 6 1,3,4,3,1,5,0 1,4 6,0,5 3,0,6,6 1,11,6 2,1,2,15,0,10,2]"
 78, 7,12, 14, 85,combineS, 58,0.26,   0.001,"[1 2,0 4 4,1 0 6 1,0,4 6,6 2,9,1 5,7,4,13,6,5,6 2,6,0 6,2 1,1 4,4 3,14,8,1,4,4,4 5,3,3,2,1,0,2,12,10,0 1,4,11,1,6,5 3,1,0,1,4,17,5,3,16,2,2 15,4 3,2,6 1,1,3,0,0,18,0]","[4,0 4 4,7,18,2,2,4,1 2,13,5,2 1,6,17,3,9,4 3,6 2,2,4 5,1,14,0,16,8,0,0 6,4 3,1 5,4,3,4,1,1,1,12,6,1 4,0,1 0 6 1,3,4,3,1,5,0 1,4 6,0,5 3,0,6,6 1,11,6 2,1,2 15,0,10,2]"
 78, 7,12, 14, 85,  greedy, 55,0.30,   0.012,"[1 2,0 4 4,1 0 6 1,0,4,6 6,2,9,1 5,7,4,13,6,5,6 2,6 0,6 2 1,1 4,4 3,14,8,1,4,4,4,5 3,3,2 1,0,2,12,10,0 1 4,11,1,6,5,3 1,0,1,4,17,5,3,16,2,2 15,4 3,2,6,1 1,3,0 0,18,0]","[4,0 4 4,7,18,2,2,4,1 2,13,5,2 1,6,17,3,9,4 3,6 2,2,4,5,1,14,0,16,8,0 0,6,4,3 1,5,4,3,4,1 1,1,12,6,1 4,0,1 0 6 1,3,4 3,1 5,0 1 4,6 0,5 3,0,6 6,1,11,6 2 1,2 15,0,10,2]"
 78, 7,12, 14, 85,     pso, 54,0.31,  13.296,"[1 2,0 4 4,1 0 6 1,0,4,6 6,2,9,1 5,7,4,13,6,5,6 2,6 0,6 2 1,1 4,4 3,14,8,1,4,4,4 5,3,3,2 1,0,2,12,10,0 1 4,11,1,6,5,3 1,0,1,4,17,5 3,16,2,2 15,4 3,2,6,1 1,3,0 0,18,0]","[4,0 4 4,7,18,2,2,4,1 2,13,5,2 1,6,17,3,9,4 3,6 2,2,4 5,1,14,0,16,8,0 0,6,4,3 1,5,4,3,4,1 1,1,12,6,1 4,0,1 0 6 1,3,4 3,1 5,0 1 4,6 0,5 3,0,6 6,1,11,6 2 1,2 15,0,10,2]"
 52,10,15,  6,  5, combine, 47,0.10,   0.000,"[0 3,4,20,2,2,4,7,1 8,10,23,5,1,5,1,18,24,1,13,7,8,1,17,12,1 0,8,3,14,6,16,9,0,9,7,0,9,8,11,21 5,6,2,22,8,19,0,6 4,0,15]","[0 3,1 0,17,8,8,22,7,6,8,5,21 5,9,1,6,3,0,1,9,20,8,0,13,15,19,1,7,2,14,4,9,12,16,0,7,2,24,5,18,4,1 8,0,10,11,23,1,6 4,2]"
 52,10,15,  6,  5,combineS, 47,0.10,   0.001,"[0 3,4,20,2,2,4,7,1 8,10,23,5,1,5,1,18,24,1,13,7,8,1,17,12,1 0,8,3,14,6,16,9,0,9,7,0,9,8,11,21 5,6,2,22,8,19,0,6 4,0,15]","[0 3,1 0,17,8,8,22,7,6,8,5,21 5,9,1,6,3,0,1,9,20,8,0,13,15,19,1,7,2,14,4,9,12,16,0,7,2,24,5,18,4,1 8,0,10,11,23,1,6 4,2]"
 52,10,15,  6,  5,  greedy, 47,0.10,   0.006,"[0 3,4,20,2,2,4,7,1 8,10,23,5,1,5,1,18,24,1,13,7,8,1,17,12,1 0,8,3,14,6,16,9,0,9,7,0,9,8,11,21 5,6,2,22,8,19,0,6 4,0,15]","[0 3,1 0,17,8,8,22,7,6,8,5,21 5,9,1,6,3,0,1,9,20,8,0,13,15,19,1,7,2,14,4,9,12,16,0,7,2,24,5,18,4,1 8,0,10,11,23,1,6 4,2]"
 52,10,15,  6,  5,     pso, 47,0.10,   0.342,"[0 3,4,20,2,2,4,7,1 8,10,23,5,1,5,1,18,24,1,13,7,8,1,17,12,1 0,8,3,14,6,16,9,0,9,7,0,9,8,11,21 5,6,2,22,8,19,0,6 4,0,15]","[0 3,1 0,17,8,8,22,7,6,8,5,21 5,9,1,6,3,0,1,9,20,8,0,13,15,19,1,7,2,14,4,9,12,16,0,7,2,24,5,18,4,1 8,0,10,11,23,1,6 4,2]"
 62, 7,18, 10, 21, combine, 48,0.23,   0.000,"[18,2,5 6,0,1 0,5 22,3,24,1 3,0 3,6 7,3,0,3,17 5,3,4,2 16,9,2,0,4 6,12,6,21,6 4,6 5,19,13,0,15,3,10,0,1,23,6,1,5 4,1,20,5 0,14,8,5,11 5,5,5]","[4,9,1,11 5,10,14,4 6,3,15,0,0,21,13,17 5,0,20,0,2 16,5,3,5,0 3,5 4,3,6 5,1,12,0,18,5 0,2,6,1 3,1,2,6,23,5 6,3,19,24,8,3,1 0,6 7,5 22,6 4,5]"
 62, 7,18, 10, 21,combineS, 48,0.23,   0.001,"[18,2,5 6,0,1 0,5 22,3,24,1 3,0 3,6 7,3,0,3,17 5,3,4,2 16,9,2,0,4 6,12,6,21,6 4,6 5,19,13,0,15,3,10,0,1,23,6,1,5 4,1,20,5 0,14,8,5,11 5,5,5]","[4,9,1,11 5,10,14,4 6,3,15,0,0,21,13,17 5,0,20,0,2 16,5,3,5,0 3,5 4,3,6 5,1,12,0,18,5 0,2,6,1 3,1,2,6,23,5 6,3,19,24,8,3,1 0,6 7,5 22,6 4,5]"
 62, 7,18, 10, 21,  greedy, 48,0.23,   0.009,"[18,2,5 6,0,1 0,5 22,3,24,1 3,0,3,6 7,3,0 3,17 5,3,4,2 16,9,2,0,4 6,12,6,21,6 4,6 5,19,13,0,15,3,10,0,1,23,6,1,5 4,1,20,5 0,14,8,5,11 5,5,5]","[4,9,1,11 5,10,14,4 6,3,15,0,0,21,13,17 5,0,20,0,2 16,5,3,5,0 3,5 4,3,6 5,1,12,0,18,5 0,2,6,1 3,1,2,6,23,5 6,3,19,24,8,3,1 0,6 7,5 22,6 4,5]"
 62, 7,18, 10, 21,     pso, 48,0.23,   2.674,"[18,2,5 6,0,1 0,5 22,3,24,1 3,0,3,6 7,3,0 3,17 5,3,4,2 16,9,2,0,4 6,12,6,21,6 4,6 5,19,13,0,15,3,10,0,1,23,6,1,5 4,1,20,5 0,14,8,5,11 5,5,5]","[4,9,1,11 5,10,14,4 6,3,15,0,0,21,13,17 5,0,20,0,2 16,5,3,5,0 3,5 4,3,6 5,1,12,0,18,5 0,2,6,1 3,1,2,6,23,5 6,3,19,24,8,3,1 0,6 7,5 22,6 4,5]"
 46, 4,20,  9, 21, combine, 37,0.20,   0.000,"[4 1 3,2 4,3,24,4,19,9 4,22,23,1,1,21,7,2 1,1,1 4,3,12,4,2,2,18,20,4,2,10,4 1,17 2,1,13,15,6,16,4 8,14,11,5]","[11,1,10,13,2,21,3,4 8,3,16,22,2,2 1,4,4,6,14,20,4 1,4 1 3,18,12,19,24,9 4,4,1,2,23,5,7,1,15,1,2 4,1 4,17 2]"
 46, 4,20,  9, 21,combineS, 36,0.22,   0.000,"[4 1 3,2 4,3,24,4,19,9 4,22,23,1,1,21,7,2 1,1,1 4,3,12,4,2,2,18,20 4,2,10,4 1,17 2,1,13,15,6,16,4 8,14,11,5]","[11,1,10,13,2,21,3,4 8,3,16,22,2,2 1,4,4,6,14,20 4,1,4 1 3,18,12,19,24,9 4,4 1,2,23,5,7,1,15,1,2 4,1 4,17 2]"
