size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 61, 5, 6, 14,142, combine, 39,0.37,   0.001,"[3 1,0 4,2 0,0 0 4,3,4 1,2 4,0 1,0 8,3 1,0 4,5,1 7,4,10,2,4,2,4 0,4,2 0,4 0 3,3,4,6,1,0,1 3,0,1 2,1,9,2,3 1,3 0,0,4 4,1 3,1]","[2,1 2,3 1,9,3,0 4,1 3,0 1,5,3,3 1,1,4 0 3,0 0 4,2 0,2,0 8,2 4,4 1,4,0 4,3 1,1 3,1 7,2 0,0,0,6,2,10,1,4 0,4 4,3 0,4,1,4,4,0]"
 61, 5, 6, 14,142,combineS, 39,0.37,   0.001,"[3 1,0 4,2 0,0 0 4,3,4 1,2 4,0 1,0 8,3 1,0 4,5,1 7,4,10,2,4,2,4 0,4,2 0,4 0 3,3,4,6,1,0,1 3,0,1 2,1 9,2,3,1 3,0 0,4 4,1,3,1]","[2,1 2,3,1 9,3,0 4,1 3,0 1,5,3,3 1,1,4 0 3,0 0 4,2 0,2,0 8,2 4,4 1,4,0 4,3 1,1 3,1 7,2 0,0 0,6,2,10,1,4 0,4 4,3,0,4,1,4,4,0]"
 61, 5, 6, 14,142,  greedy, 35,0.43,   0.005,"[3 1,0 4,2 0 0 0,4 3,4 1,2 4,0,1,0 8,3,1,0 4,5,1,7,4,10,2,4,2,4 0 4,2 0,4 0,3 3,4,6,1,0,1 3 0 1,2 1,9,2 3 1,3 0 0 4,4,1 3 1]","[2 1,2 3 1,9,3,0 4,1 3 0 1,5,3 3,1,1,4 0,3 0 0 4,2 0,2,0 8,2 4,4 1,4 0 4,3 1,1 3 1,7,2 0 0 0,6,2,10,1,4,0,4,4 3,0 4,1,4,4,0]"
 61, 5, 6, 14,142,     pso, 35,0.43,   9.003,"[3 1,0 4,2 0 0 0,4 3,4 1,2 4,0,1,0 8,3,1,0 4,5,1,7,4,10,2,4,2,4 0 4,2 0,4 0,3 3,4,6,1,0,1 3 0 1,2 1,9,2 3 1,3 0 0 4,4,1 3 1]","[2 1,2 3 1,9,3,0 4,1 3 0 1,5,3 3,1,1,4 0,3 0 0 4,2 0,2,0 8,2 4,4 1,4 0 4,3 1,1 3 1,7,2 0 0 0,6,2,10,1,4,0,4,4 3,0 4,1,4,4,0]"
 75, 7,17, 16, 84, combine, 57,0.24,   0.001,"[6,9,4 4,4,19,2 1,2,5,2,22,7,12,4 4,4 6,1,13,14,6,15,5,2,23,4 0,4 4,16,5,2 6,4,8,6 0,0 1,6 4,0 4,2 21,3,6,18,0 1,6,0,1,0 0,1 1,20,4 5,2,5,0,11,0,4,2,3,10 6,17,4,6 4]","[8,2,4 6,13,11,6,14,0 4,5,10 6,4 0,2 6,23,0 0,2,20,6 4,5,4,0,4 4,2 21,22,2,0,3,4,0,18,6,12,5,6 0,4 4,17,4 5,4 4,0 1,4,3,19,7,2,2 1,6 4,15,16,4,0 1,1 1,5,1,9,2,6,1,6]"
 75, 7,17, 16, 84,combineS, 56,0.26,   0.001,"[6,9,4 4,4,19,2 1,2,5,2,22,7,12,4 4,4 6,1,13,14,6,15,5,2,23,4 0,4,4,16,5,2 6,4,8,6 0,0 1,6 4,0,4 2 21,3,6,18,0 1,6,0,1,0 0,1 1,20,4 5,2,5,0,11,0 4,2,3,10 6,17 4,6 4]","[8,2,4 6,13,11,6,14,0,4 5,10 6,4 0,2 6,23,0 0,2,20,6 4,5,4,0 4,4 2 21,22,2,0,3,4,0,18,6,12,5,6 0,4 4,17 4,5,4 4,0 1,4,3,19,7,2,2 1,6 4,15,16,4,0 1,1 1,5,1,9,2,6,1,6]"
 75, 7,17, 16, 84,  greedy, 56,0.26,   0.014,"[6,9,4 4,4,19,2 1,2,5,2,22,7,12,4 4,4 6,1,13,14,6,15,5,2,23,4 0 4 4,16,5,2 6,4,8,6,0 0,1,6 4 0,4,2 21,3,6,18,0,1 6,0 1,0,0 1 1,20,4 5,2,5,0,11,0,4,2,3,10,6,17 4,6 4]","[8,2,4 6,13,11,6,14,0,4 5,10,6 4 0,2,6,23,0 0,2,20,6 4,5,4 0 4 4,2 21,22,2,0,3,4,0,18,6,12,5,6,0,4 4,17 4,5,4 4,0 1,4,3,19,7,2,2 1,6,4,15,16,4,0 1 1,1,5,1,9,2 6,1 6]"
 75, 7,17, 16, 84,     pso, 54,0.28,   5.481,"[6,9,4 4,4,19,2 1,2,5,2,22,7,12,4 4,4 6,1,13,14,6,15,5,2,23,4 0 4 4,16,5,2 6,4,8,6 0,0 1,6 4 0,4,2 21,3,6,18,0,1 6,0 1,0 0,1 1,20,4 5,2,5,0,11,0 4,2,3,10,6,17 4,6 4]","[8,2,4 6,13,11,6,14,0 4,5,10,6 4 0,2,6,23,0 0,2,20,6,4 5,4 0 4 4,2 21,22,2,0,3,4,0,18,6,12,5,6 0,4 4,17 4,5,4 4,0 1,4,3,19,7,2,2 1,6 4,15,16,4,0 1,1 1,5,1,9,2 6,1 6]"
 75,10,16, 10, 41, combine, 61,0.19,   0.001,"[0,14,23,3 7,12,4 0,0 5,18,10,9 3,3,16 9,3 5,8,4,0,2,15,7,13,19,8,3,0,3,8,9 5,8,4,5,7,11,9,3,8,20,0 7,2,5 5 0,22,9 6,1,5,21,6,0,24,9,1,3 7,25,1 0,5,9,5,5,4,4,17,1,8 7]","[7,20,1,12,19,24,3 5,4,8,21,9,8,23,9 6,14,18,0,0,9,3 7,11,8,5 5 0,6,3,2,9 5,16 9,4 0,2,3,5,1,13,3,5,8,17,22,5,1 0,0 5,0,8 7,7,5,25,0 7,4,8,0,4,15,3,10,3 7,9 3,5,1,9,4]"
 75,10,16, 10, 41,combineS, 60,0.20,   0.001,"[0,14,23,3 7,12,4 0,0 5,18,10,9 3,3,16 9,3 5,8,4,0,2,15,7,13,19,8,3,0,3,8,9 5,8,4,5,7 11,9 3,8,20,0 7,2,5 5 0,22,9 6,1,5,21,6,0,24,9,1,3,7,25,1 0,5,9,5,5,4,4,17,1,8 7]","[7,20,1,12,19,24,3 5,4,8,21,9,8,23,9 6,14,18,0,0,9 3,7 11,8,5 5 0,6,3,2,9 5,16 9,4 0,2,3,5,1,13,3,5,8,17,22,5,1 0,0 5,0,8 7,7,5,25,0 7,4,8,0,4,15,3,10,3 7,9 3,5,1,9,4]"
