size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 24, 5,10,  4,  1, combine, 23,0.04,   0.000,"[6,4,6,12,6,15,1,14,1,7,4,8,9,5 4,11,2,1,2,16,10,4,5,13]","[12,1,4,10,11,8,1,5,6,14,6,2,4,9,16,13,2,6,1,4,7,5 4,15]"
 24, 5,10,  4,  1,combineS, 23,0.04,   0.000,"[6,4,6,12,6,15,1,14,1,7,4,8,9,5 4,11,2,1,2,16,10,4,5,13]","[12,1,4,10,11,8,1,5,6,14,6,2,4,9,16,13,2,6,1,4,7,5 4,15]"
 24, 5,10,  4,  1,  greedy, 23,0.04,   0.002,"[6,4,6,12,6,15,1,14,1,7,4,8,9,5 4,11,2,1,2,16,10,4,5,13]","[12,1,4,10,11,8,1,5,6,14,6,2,4,9,16,13,2,6,1,4,7,5 4,15]"
 24, 5,10,  4,  1,     pso, 23,0.04,   0.049,"[6,4,6,12,6,15,1,14,1,7,4,8,9,5 4,11,2,1,2,16,10,4,5,13]","[12,1,4,10,11,8,1,5,6,14,6,2,4,9,16,13,2,6,1,4,7,5 4,15]"
 70,10,22,  7, 23, combine, 58,0.17,   0.001,"[5,3,8,2,4,5,10,9 7,4,7,23,13,25,1,21,1,27,2 9,2,3,12,5,0,9,22,9,16,2 30,1,8,29,17,14,7 7 7 31,8,4 19,20,28,9,0 3,2,15,0,6,5,4,18,1 1 7,24,6,26,8 0,6,3 2,8,11,5,7]","[8,1,7,6,4,23,20,11,27,7 7 7 31,9,29,26,5,1,4,4 19,3,9,5,5,2,18,2 9,0,17,3 2,8 0,13,14,5,8,1 1 7,9,9 7,22,6,4,24,3,0,2 30,25,2,7,21,15,8,28,12,1,16,0 3,10,8,5,6,2]"
 70,10,22,  7, 23,combineS, 58,0.17,   0.001,"[5,3,8,2,4,5,10,9 7,4,7,23,13,25,1,21,1,27,2 9,2,3,12,5,0,9,22,9,16,2 30,1,8,29,17,14,7 7 7 31,8,4 19,20,28,9,0 3,2,15,0,6,5,4,18,1 1 7,24,6,26,8 0,6,3 2,8,11,5,7]","[8,1,7,6,4,23,20,11,27,7 7 7 31,9,29,26,5,1,4,4 19,3,9,5,5,2,18,2 9,0,17,3 2,8 0,13,14,5,8,1 1 7,9,9 7,22,6,4,24,3,0,2 30,25,2,7,21,15,8,28,12,1,16,0 3,10,8,5,6,2]"
 70,10,22,  7, 23,  greedy, 59,0.16,   0.014,"[5,3,8,2,4,5,10,9 7,4,7,23,13,25,1,21,1,27,2,9,2,3,12,5,0,9,22,9,16,2 30,1,8,29,17,14,7 7 7 31,8,4 19,20,28,9 0,3,2,15,0,6,5,4,18,1 1 7,24,6,26,8,0,6,3 2 8,11,5,7]","[8,1,7,6,4,23,20,11,27,7 7 7 31,9,29,26,5,1,4,4 19,3,9,5,5,2,18,2,9 0,17,3 2 8,0,13,14,5,8,1 1 7,9,9 7,22,6,4,24,3,0,2 30,25,2,7,21,15,8,28,12,1,16,0,3,10,8,5,6,2]"
 70,10,22,  7, 23,     pso, 58,0.17,   2.324,"[5,3,8,2,4,5,10,9 7,4,7,23,13,25,1,21,1,27,2 9,2,3,12,5,0,9,22,9,16,2 30,1,8,29,17,14,7 7 7 31,8,4 19,20,28,9,0 3,2,15,0,6,5,4,18,1 1 7,24,6,26,8,0,6,3 2 8,11,5,7]","[8,1,7,6,4,23,20,11,27,7 7 7 31,9,29,26,5,1,4,4 19,3,9,5,5,2,18,2 9,0,17,3 2 8,0,13,14,5,8,1 1 7,9,9 7,22,6,4,24,3,0,2 30,25,2,7,21,15,8,28,12,1,16,0 3,10,8,5,6,2]"
 58, 7,17,  9, 35, combine, 44,0.25,   0.000,"[6 18,1,3,21,1,4 4,4 4,23,20,16,2,0 11,22,6,7,10 5,13,1 2,3 0,5 2,4,1,5,12,8,4 2 4,0 0,5 3,9,4,4,19,2 5,2,3 2,2,14,17,3,5,15,0,0,3]","[2,17,4 2 4,5 2,10 5,9,16,1,14,15,4,5,22,0 0,2,3 0,0,2 5,4,1 2,5,21,6 18,3,12,5 3,19,13,23,3 2,4 4,3,3,20,0 11,6,0,4,7,4 4,1,8,1,2]"
 58, 7,17,  9, 35,combineS, 44,0.25,   0.001,"[6 18,1,3,21,1,4 4,4 4,23,20,16,2,0 11,22,6,7,10 5,13,1 2,3 0,5 2,4,1,5,12,8,4 2 4,0 0,5 3,9,4,4,19,2 5,2,3 2,2,14,17,3,5,15,0,0,3]","[2,17,4 2 4,5 2,10 5,9,16,1,14,15,4,5,22,0 0,2,3 0,0,2 5,4,1 2,5,21,6 18,3,12,5 3,19,13,23,3 2,4 4,3,3,20,0 11,6,0,4,7,4 4,1,8,1,2]"
