size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 51, 6,24,  7, 15, combine, 43,0.16,   0.001,"[3,1,3,29,12,5,3,25,0,15 5,10 4,1,4,8,19,11,26,13,9,7 20,5,2,17,4,6,2,5,21,16,18 2 2,3 5,5,3 3,1,27,2 2,23,28,24,2,22,14,0]","[27,7 20,9,2 2,10 4,21,2,24,5,4,1,25,3,2,2,0,23,13,5,8,1,26,3,14,16,3 3,3 5,28,0,5,19,1,12,15 5,18 2 2,29,5,22,4,3,17,6,11]"
 51, 6,24,  7, 15,combineS, 43,0.16,   0.001,"[3,1,3,29,12,5,3,25,0,15 5,10 4,1,4,8,19,11,26,13,9,7 20,5,2,17,4,6,2,5,21,16,18 2 2,3 5,5,3 3,1,27,2 2,23,28,24,2,22,14,0]","[27,7 20,9,2 2,10 4,21,2,24,5,4,1,25,3,2,2,0,23,13,5,8,1,26,3,14,16,3 3,3 5,28,0,5,19,1,12,15 5,18 2 2,29,5,22,4,3,17,6,11]"
 51, 6,24,  7, 15,  greedy, 43,0.16,   0.006,"[3,1,3,29,12,5,3,25,0,15 5,10 4,1,4,8,19,11,26,13,9,7 20,5,2,17,4,6,2,5,21,16,18 2 2,3 5,5,3 3,1,27,2 2,23,28,24,2,22,14,0]","[27,7 20,9,2 2,10 4,21,2,24,5,4,1,25,3,2,2,0,23,13,5,8,1,26,3,14,16,3 3,3 5,28,0,5,19,1,12,15 5,18 2 2,29,5,22,4,3,17,6,11]"
 51, 6,24,  7, 15,     pso, 43,0.16,   1.088,"[3,1,3,29,12,5,3,25,0,15 5,10 4,1,4,8,19,11,26,13,9,7 20,5,2,17,4,6,2,5,21,16,18 2 2,3 5,5,3 3,1,27,2 2,23,28,24,2,22,14,0]","[27,7 20,9,2 2,10 4,21,2,24,5,4,1,25,3,2,2,0,23,13,5,8,1,26,3,14,16,3 3,3 5,28,0,5,19,1,12,15 5,18 2 2,29,5,22,4,3,17,6,11]"
 59, 9, 9,  9, 39, combine, 45,0.24,   0.001,"[12,7 4,8,4,1,1,7,5,3,4 5,4 2,3 8,13,8 7,3 8,14 8,5,1,4,9,7,4 6,5,8 1,3,0,15,2,6,17,10,4 8,7 7,0,1,3 3,7 6,1,16,6,8,4,3,11,7 8]","[4,4 2,4,15,4 8,5,4 5,8 1,0,4,4 6,7 4,16,7 6,8,14 8,17,9,1,2,8,13,7 7,7 8,1,12,6,7,1,3 8,5,0,3 3,3,3,5,7,6,1,11,10,8 7,1,3 8,3]"
 59, 9, 9,  9, 39,combineS, 45,0.24,   0.001,"[12,7 4,8,4,1,1,7,5,3,4 5,4 2,3,8 13,8 7,3,8 14 8,5,1,4,9,7,4 6,5,8 1,3,0,15,2,6,17,10,4 8,7 7,0,1 3,3,7 6,1,16,6,8,4,3,11,7 8]","[4,4 2,4,15,4 8,5,4 5,8 1,0,4,4 6,7 4,16,7 6,8 14 8,17,9,1,2,8 13,7 7,7 8,1,12,6,7,1 3,8,5,0,3,3,3,3,5,7,6,1,11,10,8 7,1,3,8,3]"
 59, 9, 9,  9, 39,  greedy, 46,0.22,   0.008,"[12,7,4 8,4,1,1,7,5,3,4,5 4,2,3,8 13,8,7,3,8 14 8,5,1,4,9,7 4,6,5 8 1,3,0,15,2,6,17,10,4,8 7,7,0,1 3,3,7 6 1,16,6,8,4,3,11,7 8]","[4,4,2,4,15,4 8,5 4,5 8 1,0,4,4,6,7 4,16,7,6,8 14 8,17,9,1,2,8 13,7,7,7 8,1,12,6,7,1,3,8,5,0,3,3,3,3,5,7 6 1,11,10,8 7,1 3,8,3]"
 59, 9, 9,  9, 39,     pso, 43,0.28,   4.526,"[12,7 4,8,4,1,1,7,5,3,4,5 4,2,3,8 13,8 7,3 8,14 8,5,1,4,9,7,4 6,5 8 1,3,0,15,2,6,17,10,4 8,7 7,0,1 3,3,7 6 1,16,6 8,4,3,11,7 8]","[4,4,2,4,15,4 8,5 4,5 8 1,0,4,4 6,7 4,16,7,6 8,14 8,17,9,1,2,8 13,7 7,7 8,1,12,6,7,1 3,8,5,0,3,3,3,3,5,7 6 1,11,10,8 7,1,3 8,3]"
 71, 7,13, 13, 64, combine, 52,0.27,   0.001,"[5,0,19,2,16 0,2 2,17,4 0,3,1 2 6,3,4,3,4 1,2 6,1 8,6 3,6 3,4,5 1,4 0 1,2 3,2 6,3 6,9,0,6,5,4 6,6,6,3,1,2 6,14,1,11,0,6 0,6,12,5,4,15,3,1,18,10,3,7,13,0]","[4 6,16 0,4,4 0 1,7,1,17,3,3,18,6 0,0,2 6,0,1 8,9,12,13,6 3,15,5,3,2 6,5,6,14,3,0,3 6,10,6,6 3,19,4 0,4 1,6,2 3,3,0,4,1,5,2 6,2,11,1,3,6,5 1,1 2 6,2 2,4]"
 71, 7,13, 13, 64,combineS, 52,0.27,   0.001,"[5,0,19,2,16 0,2 2,17,4 0,3,1 2 6,3,4,3,4 1,2 6,1 8,6 3,6 3,4,5 1,4 0 1,2 3,2 6,3 6,9,0,6,5,4 6,6,6,3,1,2,6 14,1,11,0,6 0,6,12,5,4,15,3,1,18,10,3,7,13,0]","[4 6,16 0,4,4 0 1,7,1,17,3,3,18,6 0,0,2 6,0,1 8,9,12,13,6 3,15,5,3,2 6,5,6 14,3,0,3 6,10,6,6 3,19,4 0,4 1,6,2 3,3,0,4,1,5,2,6,2,11,1,3,6,5 1,1 2 6,2 2,4]"
