size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,exact,left,right
 19, 5, 7,  3,  4,  0,     pso, 17,0.11,   0.194,N,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]"
 19, 5, 7,  3,  4,  0, psoPure, 17,0.11,   0.189,N,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]"
 19, 5, 7,  3,  4,  0, psoComb, 17,0.11,   0.874,N,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]"
 19, 5, 7,  3,  4,   ,     FPT, 17,0.11,   0.094,Y,,
 19, 4, 5,  5,  7,   , combine, 14,0.28,   0.000,N,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]"
 19, 4, 5,  5,  7,   ,combineS, 14,0.28,   0.000,N,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]"
 19, 4, 5,  5,  7,   ,  greedy, 14,0.28,   0.001,N,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]"
 19, 4, 5,  5,  7,  0,     pso, 14,0.28,   0.848,N,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]"
 19, 4, 5,  5,  7,  0, psoPure, 14,0.28,   0.815,N,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]"
 19, 4, 5,  5,  7,  0, psoComb, 14,0.28,   1.260,N,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]"
 19, 4, 5,  5,  7,   ,     FPT, 12,0.39,   1.006,Y,,
 19, 6, 2,  5,  4,   , combine, 17,0.11,   0.000,N,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]"
 19, 6, 2,  5,  4,   ,combineS, 17,0.11,   0.000,N,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]"
 19, 6, 2,  5,  4,   ,  greedy, 17,0.11,   0.001,N,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]"
 19, 6, 2,  5,  4,  0,     pso, 17,0.11,   0.361,N,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]"
 19, 6, 2,  5,  4,  0, psoPure, 17,0.11,   0.357,N,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]"
 19, 6, 2,  5,  4,  0, psoComb, 17,0.11,   0.863,N,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]"
 19, 6, 2,  5,  4,   ,     FPT, 16,0.17,   2.730,Y,,
 20, 4, 5,  5,  9,   , combine, 16,0.21,   0.000,N,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]"
 20, 4, 5,  5,  9,   ,combineS, 16,0.21,   0.000,N,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]"
 20, 4, 5,  5,  9,   ,  greedy, 16,0.21,   0.001,N,"[0,3,0 0,1,3 3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0 0,3 3,1,8,0,2,1,3,5,3,0 7,2 2,2,6]"
 20, 4, 5,  5,  9,  0,     pso, 16,0.21,   0.956,N,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]"
 20, 4, 5,  5,  9,  0, psoPure, 16,0.21,   0.976,N,"[0,3,0 0,1,3 3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0 0,3 3,1,8,0,2,1,3,5,3,0 7,2,2 2,6]"
 20, 4, 5,  5,  9,  0, psoComb, 16,0.21,   1.442,N,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]"
 20, 4, 5,  5,  9,   ,     FPT, 14,0.32,   2.768,Y,,
 20, 3, 3,  8, 22,   , combine, 14,0.32,   0.000,N,"[1,3,1 0,4 1,2,5,0,1 1,1,2,0 2,0 2,0,1 1]","[1 0,1 1,5,3,2,2,4 1,1,0,0 2,1 1,0 2,1,0]"
 20, 3, 3,  8, 22,   ,combineS, 14,0.32,   0.000,N,"[1,3,1 0,4 1,2,5,0,1 1,1,2,0 2,0 2,0,1 1]","[1 0,1 1,5,3,2,2,4 1,1,0,0 2,1 1,0 2,1,0]"
 20, 3, 3,  8, 22,   ,  greedy, 13,0.37,   0.001,N,"[1,3,1 0,4 1,2,5,0 1 1,1,2,0 2,0 2,0,1 1]","[1,0 1 1,5,3,2,2,4 1,1 0,0 2,1 1,0 2,1,0]"
 20, 3, 3,  8, 22,  0,     pso, 13,0.37,   2.477,N,"[1,3,1 0,4 1,2,5,0 1 1,1,2,0 2,0 2,0,1 1]","[1,0 1 1,5,3,2,2,4 1,1 0,0 2,1 1,0 2,1,0]"
 20, 3, 3,  8, 22,  0, psoPure, 13,0.37,   2.490,N,"[1,3,1 0,4 1,2,5,0 1 1,1,2,0 2,0 2,0,1 1]","[1,0 1 1,5,3,2,2,4 1,1 0,0 2,1 1,0 2,1,0]"
 20, 3, 3,  8, 22,  0, psoComb, 13,0.37,   3.010,N,"[1,3,1 0,4 1,2,5,0 1 1,1,2,0 2,0 2,0,1 1]","[1,0 1 1,5,3,2,2,4 1,1 0,0 2,1 1,0 2,1,0]"
 20, 3, 3,  8, 22,   ,     FPT, 12,0.42,  44.138,Y,,
 20, 6, 2,  7, 13,   , combine, 15,0.26,   0.000,N,"[8,5,5,4 0,2 0 3,2,0,6,3,4,0 2,0,0,7 0,6]","[5,3,6,5,0,0 2,4,2,2 0 3,6,0,8,0,4 0,7 0]"
 20, 6, 2,  7, 13,   ,combineS, 16,0.21,   0.000,N,"[8,5,5,4,0 2,0 3,2,0,6,3,4,0,2,0,0 7 0,6]","[5,3,6,5,0,0 2,4,2,2,0 3,6,0,8,0,4,0 7 0]"
 20, 6, 2,  7, 13,   ,  greedy, 15,0.26,   0.001,N,"[8,5,5,4,0,2 0 3,2,0,6,3,4,0 2,0,0 7 0,6]","[5,3,6,5,0,0 2,4,2,2 0 3,6,0,8,0,4,0 7 0]"
 20, 6, 2,  7, 13,  0,     pso, 15,0.26,   1.310,N,"[8,5,5,4,0,2 0 3,2,0,6,3,4,0 2,0,0 7 0,6]","[5,3,6,5,0,0 2,4,2,2 0 3,6,0,8,0,4,0 7 0]"
 20, 6, 2,  7, 13,  0, psoPure, 15,0.26,   1.325,N,"[8,5,5,4,0,2 0 3,2,0,6,3,4 0,2,0 0,7 0,6]","[5,3,6,5,0 0,2,4,2,2 0 3,6,0,8,0,4 0,7 0]"
 20, 6, 2,  7, 13,  0, psoComb, 15,0.26,   1.902,N,"[8,5,5,4,0,2 0 3,2,0,6,3,4,0 2,0,0 7 0,6]","[5,3,6,5,0,0 2,4,2,2 0 3,6,0,8,0,4,0 7 0]"
 20, 6, 2,  7, 13,   ,     FPT, 14,0.32,   1.232,Y,,
 21, 6, 3,  4,  8,   , combine, 16,0.25,   0.000,N,"[2 5,6,2 9,3,0,5 5,3 4,6,11,5,3,4 0,2,4,4,10]","[11,4,3,3 4,4 0,6,5,2 9,4,2 5,2,5 5,0,3,10,6]"
 21, 6, 3,  4,  8,   ,combineS, 16,0.25,   0.000,N,"[2 5,6,2 9,3,0,5 5,3 4,6,11,5,3,4 0,2,4,4,10]","[11,4,3,3 4,4 0,6,5,2 9,4,2 5,2,5 5,0,3,10,6]"
 21, 6, 3,  4,  8,   ,  greedy, 17,0.20,   0.001,N,"[2 5,6,2 9,3,0,5 5,3,4,6,11,5,3,4,0,2,4 4,10]","[11,4,3,3,4 4,0,6,5,2 9,4,2 5,2,5 5,0,3,10,6]"
 21, 6, 3,  4,  8,  0,     pso, 16,0.25,   1.044,N,"[2 5,6,2 9,3,0,5 5,3 4,6,11,5,3,4 0,2,4,4,10]","[11,4,3,3 4,4 0,6,5,2 9,4,2 5,2,5 5,0,3,10,6]"
