size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 78,10,19,  8, 31, combine, 63,0.19,   0.001,"[1,1 4,9,7,17,4,0,8,3,21,8 0 9,8,0,8 11,6 9,3,7,13,2,24,8,2 7,27,20,3,0,28,9 8,1,7,16,5 2,5 23,10 9,2,18,1,3 3,5,6,9 1,9,4,9,0,25,12,6 5,2,22,3,7,6 4,5,3 5,15,2,6,8,26,14,1,19]","[5 2,1,6 9,21,9,26,15,13,16,7,2,5,9,18,0,1,9 8,1 4,20,6,3 3,12,5 23,6,8 11,27,3 5,8 0 9,4,1,10 9,8,28,3,24,6 4,8,7,0,22,25,0,2,9 1,2,3,3,19,9,2,0,3,4,6 5,8,7,8,14,2 7,7,1,17,5]"
 78,10,19,  8, 31,combineS, 63,0.19,   0.002,"[1,1 4,9,7,17,4,0,8,3,21,8 0 9,8,0,8 11,6 9,3,7,13,2,24,8,2 7,27,20,3,0,28,9 8,1,7,16,5 2,5 23,10 9,2,18,1,3 3,5,6,9 1,9,4,9,0,25,12,6 5,2,22,3,7,6 4,5,3 5,15,2,6,8,26,14,1,19]","[5 2,1,6 9,21,9,26,15,13,16,7,2,5,9,18,0,1,9 8,1 4,20,6,3 3,12,5 23,6,8 11,27,3 5,8 0 9,4,1,10 9,8,28,3,24,6 4,8,7,0,22,25,0,2,9 1,2,3,3,19,9,2,0,3,4,6 5,8,7,8,14,2 7,7,1,17,5]"
 78,10,19,  8, 31,  greedy, 64,0.18,   0.021,"[1,1,4,9,7,17,4,0,8,3,21,8 0 9,8,0,8 11,6 9,3,7,13,2,24,8,2 7,27,20,3,0,28,9 8 1,7,16,5 2,5 23,10 9,2,18,1,3,3 5,6,9 1,9,4,9,0,25,12,6 5,2,22,3,7,6 4,5,3,5,15,2,6,8,26,14,1,19]","[5 2,1,6 9,21,9,26,15,13,16,7,2,5,9,18,0,1,9 8 1,4,20,6,3,3,12,5 23,6,8 11,27,3 5,8 0 9,4,1,10 9,8,28,3,24,6 4,8,7,0,22,25,0,2,9 1,2,3,3,19,9,2,0,3,4,6 5,8,7,8,14,2 7,7,1,17,5]"
 78,10,19,  8, 31,     pso, 62,0.21,   5.512,"[1,1 4,9,7,17,4,0,8,3,21,8 0,9 8,0,8 11,6 9,3,7,13,2,24,8,2 7,27,20,3,0,28,9 8,1,7,16,5 2,5 23,10,9 2,18,1,3 3,5,6,9 1,9 4,9,0,25,12,6 5,2,22,3,7,6 4,5,3 5,15,2,6,8,26,14,1,19]","[5 2,1,6 9,21,9,26,15,13,16,7,2,5,9,18,0,1,9 8,1 4,20,6,3,3,12,5 23,6,8 11,27,3 5,8 0,9 4,1,10,9 8,28,3,24,6 4,8,7,0,22,25,0,2,9 1,2,3 3,19,9 2,0,3,4,6 5,8,7,8,14,2 7,7,1,17,5]"
 72, 6,11, 17,101, combine, 52,0.28,   0.001,"[6,2 3,1,3,1,7,1,9 2,4,11,4 1,5 3,2 2,0 2,2,0 1,4,13,2 3,4 2,5 3,4,2,4,2 3,15,3 5,3,1,3,0 2,1,5 1,16,1,12,5 5,4 5,1,2 2,5,2,4,14 2,0,2,10,8,0,2 5,0 4,4]","[4,4,0,2 3,2 2,2 5,2 2,2,12,4 5,14 2,5,2 3,4 1,1,4,9 2,5 5,15,1,4 2,0 2,5 3,0,5 1,5 3,3 5,1,6,4,4,1,0 2,2 3,3,10,7,2,11,2,1,13,1,0 1,8,3,3,2,1,4,0 4,16]"
 72, 6,11, 17,101,combineS, 52,0.28,   0.001,"[6,2 3,1,3,1,7,1,9 2,4,11,4 1,5 3,2 2,0 2,2,0 1,4,13,2 3,4 2,5 3,4,2,4,2 3,15,3 5,3,1,3,0 2,1,5 1,16,1,12,5 5,4 5,1,2 2,5,2,4,14 2,0,2,10,8,0,2 5,0 4,4]","[4,4,0,2 3,2 2,2 5,2 2,2,12,4 5,14 2,5,2 3,4 1,1,4,9 2,5 5,15,1,4 2,0 2,5 3,0,5 1,5 3,3 5,1,6,4,4,1,0 2,2 3,3,10,7,2,11,2,1,13,1,0 1,8,3,3,2,1,4,0 4,16]"
 72, 6,11, 17,101,  greedy, 51,0.30,   0.020,"[6,2,3,1,3,1,7,1,9 2,4,11,4,1 5 3,2 2,0 2 2,0,1 4,13,2 3 4,2,5 3,4,2,4,2,3,15,3,5,3,1,3,0,2 1,5 1,16,1,12,5 5,4 5,1,2 2 5 2,4,14,2 0 2,10,8,0 2,5,0,4 4]","[4 4,0 2,3,2,2 2 5 2,2 2,12,4 5,14,2,5,2 3 4,1,1 4,9 2,5 5,15,1,4,2 0 2,5 3,0,5,1 5 3,3,5 1,6,4,4,1,0 2 2,3,3,10,7,2,11,2 1,13,1,0,1,8,3,3,2,1,4,0,4,16]"
 72, 6,11, 17,101,     pso, 47,0.35,  13.586,"[6,2 3,1,3,1,7,1,9 2,4,11,4 1,5,3 2,2,0,2 2,0,1 4,13,2 3 4,2,5 3,4 2,4,2 3,15,3 5,3,1,3 0,2 1,5 1,16,1,12,5 5,4 5,1,2 2 5 2,4,14 2,0 2,10,8,0 2 5,0 4,4]","[4,4,0,2 3,2,2 2 5 2,2 2,12,4 5,14 2,5,2 3 4,1,1,4,9 2,5 5,15,1,4 2,0 2 5,3 0,5 1,5 3,3 5,1,6,4,4 1,0 2,2 3,3,10,7,2,11,2 1,13,1,0,1,8,3,3 2,1 4,0 4,16]"
 72,10, 7,  8, 36, combine, 57,0.21,   0.001,"[10,5 4 0,1,4,4 3,1,4 6,3 6,1,8,2,5 8,1 3,3,5,5,6 5,4,7 1,14,0 8,2,0,1 2,9,6,6 3,0,1 0,7,8,8,16,2,15,7,5,12,7,1,4 5,0,3,7,4,6,9,0 7,8,0,8,13,9,2,2,6,11]","[12,4,2,11,13,2,6 5,7,2,1 2,4 6,4,0,5,2,9,5 4 0,6,8,0 7,7,2,1,9,3,1,7,6 3,3 6,0,6,0,6,8,5,4 3,4,1 3,8,1,9,4 5,15,5,7,16,10,3,1 0,0 8,8,5 8,8,1,7 1,0,14]"
 72,10, 7,  8, 36,combineS, 57,0.21,   0.001,"[10,5 4 0,1,4,4 3,1,4 6,3 6,1,8,2,5 8,1 3,3,5,5,6 5,4,7 1,14,0 8,2,0,1 2,9,6,6 3,0,1 0,7,8,8,16,2,15,7,5,12,7,1,4 5,0,3,7,4,6,9,0 7,8,0,8,13,9,2,2,6,11]","[12,4,2,11,13,2,6 5,7,2,1 2,4 6,4,0,5,2,9,5 4 0,6,8,0 7,7,2,1,9,3,1,7,6 3,3 6,0,6,0,6,8,5,4 3,4,1 3,8,1,9,4 5,15,5,7,16,10,3,1 0,0 8,8,5 8,8,1,7 1,0,14]"
 72,10, 7,  8, 36,  greedy, 58,0.20,   0.015,"[10,5 4 0,1,4,4 3,1,4 6,3 6,1,8,2,5,8 1,3,3,5,5,6 5,4,7 1,14,0 8,2,0,1 2,9,6,6 3,0,1 0,7,8,8,16,2,15,7,5,12,7,1,4 5,0,3,7,4,6,9,0,7,8 0,8,13,9,2,2,6,11]","[12,4,2,11,13,2,6 5,7,2,1 2,4 6,4,0,5,2,9,5 4 0,6,8 0,7,7,2,1,9,3,1,7,6 3,3 6,0,6,0,6,8,5,4 3,4,1,3,8,1,9,4 5,15,5,7,16,10,3,1 0,0 8,8,5,8,8 1,7 1,0,14]"
 72,10, 7,  8, 36,     pso, 56,0.23,   5.190,"[10,5 4 0,1,4,4,3 1,4 6,3 6,1,8,2,5 8,1 3,3,5,5,6,5 4,7 1,14,0 8,2,0,1 2,9,6,6 3,0,1 0,7,8,8,16,2,15,7,5,12,7,1,4 5,0,3,7,4,6,9,0 7,8,0,8,13,9,2,2 6,11]","[12,4,2,11,13,2 6,5,7,2,1 2,4 6,4,0,5,2,9,5 4 0,6,8,0 7,7,2,1,9,3 1,7,6 3,3 6,0,6,0,6,8,5 4,3,4,1 3,8,1,9,4 5,15,5,7,16,10,3,1 0,0 8,8,5 8,8,1,7 1,0,14]"
 75, 8,19,  9, 31, combine, 61,0.19,   0.000,"[7,14,21,22,7,16,3,7 4,6,6 7,3,7,26,7 2,1,13,25,4,0 6,17,2 6,6,1,10,3 6,2,18 3,1 5,5,1,12,4,5,23,2,2,0,5,4,7 2,19 1,6 2,2,5 3,11,6,8,4,2,20,5,3 4,5,24 6,3,15,5,9,3,0,0]","[18 3,2,3,2,3 4,26,4,25,7 2,5,6,11,19 1,0,4,14,2,7,0,1,6,5,5,6,3,2 6,5,3 6,10,0,7,12,1,0 6,8,1 5,13,4,21,7,5,5 3,6 2,7 2,20,3,9,7 4,2,3,4,23,17,16,6 7,1,22,5,2,15,24 6]"
 75, 8,19,  9, 31,combineS, 61,0.19,   0.001,"[7,14,21,22,7,16,3,7 4,6,6 7,3,7,26,7 2,1,13,25,4,0,6,17,2 6,6,1,10,3 6,2,18 3,1 5,5,1,12,4,5,23,2,2,0,5,4,7,2,19 1,6 2,2,5 3,11,6 8,4,2 20,5,3 4,5,24 6,3,15,5,9,3,0,0]","[18 3,2,3,2,3 4,26,4,25,7 2,5,6,11,19 1,0,4,14,2,7,0,1,6,5,5,6,3,2 6,5,3 6,10,0,7,12,1,0,6 8,1 5,13,4,21,7,5,5 3,6 2,7,2 20,3,9,7 4,2,3,4,23,17,16,6 7,1,22,5,2,15,24 6]"
 75, 8,19,  9, 31,  greedy, 61,0.19,   0.017,"[7,14,21,22,7,16,3,7 4,6,6 7,3,7,26,7 2,1,13,25,4,0 6,17,2 6,6,1,10,3 6 2,18 3,1,5 5,1,12,4,5,23,2,2,0,5,4,7 2,19 1,6,2,2,5 3,11,6,8,4,2,20,5,3 4,5,24 6,3,15,5,9,3,0,0]","[18 3,2,3,2,3,4,26,4,25,7 2,5,6,11,19 1,0,4,14,2,7,0,1,6,5,5,6,3,2 6,5 3,6,10,0,7,12,1,0 6,8,1,5,13,4,21,7,5 5,3 6 2,7 2,20,3,9,7 4,2,3 4,23,17,16,6 7,1,22,5,2,15,24 6]"
 75, 8,19,  9, 31,     pso, 61,0.19,   4.060,"[7,14,21,22,7,16,3,7 4,6,6 7,3,7,26,7 2,1,13,25,4,0 6,17,2 6,6,1,10,3 6 2,18 3,1 5,5,1,12,4,5,23,2,2,0,5,4,7 2,19 1,6,2,2,5 3,11,6,8,4,2,20,5,3 4,5,24 6,3,15,5,9,3,0,0]","[18 3,2,3,2,3 4,26,4,25,7 2,5,6,11,19 1,0,4,14,2,7,0,1,6,5,5,6,3,2 6,5 3,6,10,0,7,12,1,0 6,8,1 5,13,4,21,7,5,5,3 6 2,7 2,20,3,9,7 4,2,3,4,23,17,16,6 7,1,22,5,2,15,24 6]"
 48, 6,20,  7, 13, combine, 42,0.13,   0.000,"[21,8,0,1,3,16,1,18,14,4 4,2,3 4 13,2,0,1,23 1,4,9,3,4,0,3 25,4 3,24,20,19,3,1,11,17,10,5,2,2,12,3,1,5,6,22,15,7]","[1,4,1,17,3,7,18,2,24,0,0,14,0,2,1,16,3 4 13,23 1,5,3,5,12,3 25,3,19,4,8,1,20,2,9,11,6,10,1,15,3,4 4,22,21,4 3,2]"
 48, 6,20,  7, 13,combineS, 42,0.13,   0.000,"[21,8,0,1,3,16,1,18,14,4 4,2,3 4 13,2,0,1,23 1,4,9,3,4,0,3 25,4 3,24,20,19,3,1,11,17,10,5,2,2,12,3,1,5,6,22,15,7]","[1,4,1,17,3,7,18,2,24,0,0,14,0,2,1,16,3 4 13,23 1,5,3,5,12,3 25,3,19,4,8,1,20,2,9,11,6,10,1,15,3,4 4,22,21,4 3,2]"
 48, 6,20,  7, 13,  greedy, 41,0.15,   0.005,"[21,8,0,1,3,16,1,18,14,4 4,2,3 4 13,2,0,1,23,1 4,9,3,4,0,3 25,4 3,24,20,19,3,1,11,17,10,5,2,2,12,3,1 5,6,22,15,7]","[1 4,1,17,3,7,18,2,24,0,0,14,0,2,1,16,3 4 13,23,1 5,3,5,12,3 25,3,19,4,8,1,20,2,9,11,6,10,1,15,3,4 4,22,21,4 3,2]"
 48, 6,20,  7, 13,     pso, 41,0.15,   1.110,"[21,8,0,1,3,16,1,18,14,4 4,2,3 4 13,2,0,1,23,1 4,9,3,4,0,3 25,4 3,24,20,19,3,1,11,17,10,5,2,2,12,3,1 5,6,22,15,7]","[1 4,1,17,3,7,18,2,24,0,0,14,0,2,1,16,3 4 13,23,1 5,3,5,12,3 25,3,19,4,8,1,20,2,9,11,6,10,1,15,3,4 4,22,21,4 3,2]"
 69, 5,30,  9, 22, combine, 61,0.12,   0.000,"[7,24,2,9,3 3,5,15,3 4,31 2,3,14,11 1,4,8,4,18,0,25,17,6,0,34,0,0 1,1,27,1,0,33,13,32,4,1 4,20,3,3,23,28,2,22,2,2,0,4,3 0,3,10,1,2 1,12,29,4,1,30,1,4,26,3,21,19,16]","[0,3 0,14,31 2,1 4,3,5,0,15,18,4,11 1,3 3,4,30,2,4,0,2,32,3,17,1,8,1,28,3,3 4,2,0 1,24,1,13,34,26,1,1,21,27,4,20,0,9,6,16,4,7,12,3,29,0,2 1,19,10,23,4,2,3,33,22,25]"
 69, 5,30,  9, 22,combineS, 59,0.15,   0.001,"[7,24,2,9,3,3 5,15,3 4,31 2,3,14,11 1,4,8,4,18,0,25,17,6,0,34,0,0 1,1,27,1,0,33,13,32,4,1,4 20,3 3,23,28,2,22,2,2,0,4,3 0,3,10,1,2 1,12,29,4,1,30,1 4,26,3,21,19,16]","[0,3 0,14,31 2,1 4,3 5,0,15,18,4,11 1,3,3 4,30,2,4,0,2,32,3,17,1,8,1,28,3 3,4,2,0 1,24,1,13,34,26,1,1,21,27,4 20,0,9,6,16,4,7,12,3,29,0,2 1,19,10,23,4,2,3,33,22,25]"
 69, 5,30,  9, 22,  greedy, 58,0.16,   0.013,"[7,24,2,9,3,3 5,15,3 4,31 2,3,14,11 1,4,8,4,18,0,25,17,6,0,34,0,0,1 1,27,1,0,33,13,32,4,1,4 20,3 3,23,28,2,22,2,2 0,4,3 0,3,10,1,2 1,12,29,4,1,30,1 4,26,3,21,19,16]","[0,3 0,14,31 2,1 4,3 5,0,15,18,4,11 1,3,3 4,30,2,4,0,2,32,3,17,1,8,1,28,3 3,4,2 0,1,24,1,13,34,26,1 1,21,27,4 20,0,9,6,16,4,7,12,3,29,0,2 1,19,10,23,4,2,3,33,22,25]"
 69, 5,30,  9, 22,     pso, 58,0.16,   2.631,"[7,24,2,9,3,3 5,15,3 4,31 2,3,14,11 1,4,8,4,18,0,25,17,6,0,34,0,0,1 1,27,1,0,33,13,32,4,1,4 20,3 3,23,28,2,22,2,2 0,4,3 0,3,10,1,2 1,12,29,4,1,30,1 4,26,3,21,19,16]","[0,3 0,14,31 2,1 4,3 5,0,15,18,4,11 1,3,3 4,30,2,4,0,2,32,3,17,1,8,1,28,3 3,4,2 0,1,24,1,13,34,26,1 1,21,27,4 20,0,9,6,16,4,7,12,3,29,0,2 1,19,10,23,4,2,3,33,22,25]"
 43, 7,10,  8, 21, combine, 33,0.24,   0.000,"[0 3,5 2,1,4,0,12 4,8,14,11,9,16,1 0,3 3,5 3,7 5,1,2,5,6 3,13,3,2,6,5,10,0,2,3,1 5,15,4,3 5,6]","[3 3,2,14,0 3,0,6,1 0,1,9,5,7 5,10,4,13,11,5,0,4,16,15,3 5,1 5,5 3,6 3,5 2,2,2,12 4,1,6,3,8,3]"
 43, 7,10,  8, 21,combineS, 33,0.24,   0.000,"[0 3,5 2,1,4,0,12 4,8,14,11,9,16,1 0,3 3,5 3,7 5,1,2,5,6 3,13,3,2,6,5,10,0,2,3,1 5,15,4,3 5,6]","[3 3,2,14,0 3,0,6,1 0,1,9,5,7 5,10,4,13,11,5,0,4,16,15,3 5,1 5,5 3,6 3,5 2,2,2,12 4,1,6,3,8,3]"
 43, 7,10,  8, 21,  greedy, 33,0.24,   0.003,"[0,3 5 2,1,4,0,12 4,8,14,11,9,16,1 0,3 3,5 3,7 5,1,2,5,6 3,13,3,2,6,5,10,0,2,3,1 5,15,4,3 5,6]","[3 3,2,14,0,3,0,6,1 0,1,9,5,7 5,10,4,13,11,5,0,4,16,15,3 5,1 5,5 3,6,3 5 2,2,2,12 4,1,6 3,8,3]"
 43, 7,10,  8, 21,     pso, 33,0.24,   1.939,"[0,3 5 2,1,4,0,12 4,8,14,11,9,16,1 0,3 3,5 3,7 5,1,2,5,6 3,13,3,2,6,5,10,0,2,3,1 5,15,4,3 5,6]","[3 3,2,14,0,3,0,6,1 0,1,9,5,7 5,10,4,13,11,5,0,4,16,15,3 5,1 5,5 3,6,3 5 2,2,2,12 4,1,6 3,8,3]"
 72,10, 7, 10, 53, combine, 55,0.24,   0.000,"[15,6 4,0,1 3,1,5 7,2,14,0 5,5,2,2 4,4,6 9,3,5,8,10,7 2,3,8,9,8,0 2,4 4,6,6,2 5,7 6,6,9,0,2 7,1 2,9,4 5,1,5,7 2,13,0 0,3,16,11,1 7,0,4,8,1,6,7,0,2,4,12]","[0,6 4,11,15,13,3,6,1,1,7 6,0 0,2 4,0,16,4,2 5,1 2,4,0,4 5,6 9,5,0 2,5,3,9,1,8,6,1 3,2 7,0,7 2,6,3,14,10,8,7,5,1 7,0 5,4,2,9,4 4,8,5 7,9,7 2,6,8,2,12,2]"
 72,10, 7, 10, 53,combineS, 55,0.24,   0.001,"[15,6 4,0,1 3,1,5 7,2,14,0 5,5,2,2 4,4,6 9,3,5,8,10,7 2,3,8,9,8,0 2,4 4,6,6,2 5,7 6,6,9,0,2 7,1 2,9,4 5,1,5,7 2,13,0 0,3,16,11,1 7,0,4,8,1,6,7,0,2,4,12]","[0,6 4,11,15,13,3,6,1,1,7 6,0 0,2 4,0,16,4,2 5,1 2,4,0,4 5,6 9,5,0 2,5,3,9,1,8,6,1 3,2 7,0,7 2,6,3,14,10,8,7,5,1 7,0 5,4,2,9,4 4,8,5 7,9,7 2,6,8,2,12,2]"
 72,10, 7, 10, 53,  greedy, 54,0.25,   0.012,"[15,6 4,0,1 3,1,5 7,2,14,0,5,5,2,2 4,4,6,9,3,5,8,10,7 2,3,8,9,8,0,2,4,4,6,6,2 5,7 6,6 9,0,2 7,1,2 9 4,5 1,5,7 2,13,0,0,3,16,11,1 7 0,4 8,1,6,7,0 2 4,12]","[0,6 4,11,15,13,3,6,1,1,7 6,0,0 2 4,0,16,4,2,5 1,2 4,0,4,5,6 9,5,0,2 5,3,9,1,8,6,1 3,2 7,0,7 2,6,3,14,10,8,7,5,1 7 0,5,4,2 9 4,4 8,5 7,9,7 2,6,8,2,12,2]"
 72,10, 7, 10, 53,     pso, 54,0.25,   7.654,"[15,6 4,0,1 3,1,5 7,2,14,0,5,5,2,2 4,4,6 9,3,5,8,10,7 2,3,8,9,8,0 2 4,4,6,6,2 5,7 6,6,9,0 2,7,1,2 9 4,5,1,5,7 2,13,0,0,3,16,11,1 7 0,4 8,1,6,7 0,2,4,12]","[0,6 4,11,15,13,3,6,1,1,7 6,0,0 2 4,0,16,4,2 5,1,2 4,0,4,5,6 9,5,0 2,5,3,9,1,8,6,1 3,2,7 0,7 2,6,3,14,10,8,7,5,1 7 0,5,4,2 9 4,4 8,5 7,9,7 2,6,8,2,12,2]"
 31, 7, 6,  6, 15, combine, 22,0.30,   0.000,"[5,9,7 5,3,6,6 3,5 4 11,2,5 3,3,12,3 4 4,5,0,4,6,10,5 1,8 2,1,1,0]","[3,0,3 4 4,0,5,6,1,5 3,9,5 1,1,5 4 11,7 5,6,12,5,10,8 2,2,4,6 3,3]"
 31, 7, 6,  6, 15,combineS, 22,0.30,   0.000,"[5,9,7 5,3,6,6 3,5 4 11,2,5 3,3,12,3 4 4,5,0,4,6,10,5 1,8 2,1,1,0]","[3,0,3 4 4,0,5,6,1,5 3,9,5 1,1,5 4 11,7 5,6,12,5,10,8 2,2,4,6 3,3]"
 31, 7, 6,  6, 15,  greedy, 22,0.30,   0.001,"[5,9,7 5,3,6,6,3,5 4 11,2,5 3,3,12,3 4 4,5,0,4 6,10,5 1,8 2,1,1,0]","[3,0,3 4 4,0,5,6,1,5 3,9,5 1,1,5 4 11,7 5,6,12,5,10,8 2,2,4 6,3,3]"
