size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 34, 9, 5,  5,  6, combine, 28,0.18,   0.001,"[1,1,1,2,0 6,7,6,4,2,9,0,7,13 4,8 4,12,0,10,2 6,4,2,9,5,8 14,5,7,0,11 2,9]","[0,0,9,7,2,2 6,9,2,8 4,1,4,5,0 6,9,4,7,11 2,7,1,8 14,13 4,1,6,12,2,5,10,0]"
 34, 9, 5,  5,  6,combineS, 28,0.18,   0.000,"[1,1,1,2,0 6,7,6,4,2,9,0,7,13 4,8 4,12,0,10,2 6,4,2,9,5,8 14,5,7,0,11 2,9]","[0,0,9,7,2,2 6,9,2,8 4,1,4,5,0 6,9,4,7,11 2,7,1,8 14,13 4,1,6,12,2,5,10,0]"
 34, 9, 5,  5,  6,  greedy, 28,0.18,   0.003,"[1,1,1,2,0 6,7,6,4,2,9,0,7,13 4,8 4,12,0,10,2 6,4,2,9,5,8 14,5,7,0,11 2,9]","[0,0,9,7,2,2 6,9,2,8 4,1,4,5,0 6,9,4,7,11 2,7,1,8 14,13 4,1,6,12,2,5,10,0]"
 34, 9, 5,  5,  6,     pso, 28,0.18,   0.591,"[1,1,1,2,0 6,7,6,4,2,9,0,7,13 4,8 4,12,0,10,2 6,4,2,9,5,8 14,5,7,0,11 2,9]","[0,0,9,7,2,2 6,9,2,8 4,1,4,5,0 6,9,4,7,11 2,7,1,8 14,13 4,1,6,12,2,5,10,0]"
 76, 5,30, 11, 30, combine, 63,0.17,   0.001,"[1,14,4,4,6,1 2,12,4 1,1 3,1,0,19,3 2,4,0,27,0,18,17,22 2,25,9,11,3,3,5,2 2,3,26 4,2 4,15,32,0 0,3,34,16,30,3 4,24,1,20,21,4 1,2,1,2,3 28,8,3,33,2,13,23,2,4,0,3,29,2 0,7,31,10,1]","[6,4,5,0,9,10,4,2 2,1,34,13,0,1,29,7,2,1 3,32,16,3,1,33,27,26 4,11,30,8,24,0,4,3 2,31,3 28,0 0,12,3 4,19,18,3,0,2 0,2,4 1,4,3,1,4 1,15,3,21,1 2,22 2,1,3,20,2,14,3,2,23,25,17,2 4]"
 76, 5,30, 11, 30,combineS, 63,0.17,   0.002,"[1,14,4,4,6,1 2,12,4 1,1 3,1,0,19,3 2,4,0,27,0,18,17,22 2,25,9,11,3,3,5,2 2,3,26 4,2 4,15,32,0 0,3,34,16,30,3 4,24,1,20,21,4 1,2,1,2,3 28,8,3,33,2,13,23,2,4,0,3,29,2 0,7,31,10,1]","[6,4,5,0,9,10,4,2 2,1,34,13,0,1,29,7,2,1 3,32,16,3,1,33,27,26 4,11,30,8,24,0,4,3 2,31,3 28,0 0,12,3 4,19,18,3,0,2 0,2,4 1,4,3,1,4 1,15,3,21,1 2,22 2,1,3,20,2,14,3,2,23,25,17,2 4]"
 76, 5,30, 11, 30,  greedy, 62,0.19,   0.025,"[1,14,4,4,6,1 2,12,4 1,1,3 1,0,19,3 2,4,0,27,0,18,17,22 2,25,9,11,3,3,5,2 2,3,26 4,2 4,15,32,0 0,3,34,16,30,3 4,24,1,20,21,4 1,2 1,2,3 28,8,3,33,2,13,23,2,4,0,3,29,2 0,7,31,10,1]","[6,4,5,0,9,10,4,2 2,1,34,13,0,1,29,7,2 1,3,32,16,3 1,33,27,26 4,11,30,8,24,0,4,3,2,31,3 28,0 0,12,3 4,19,18,3,0,2 0,2,4 1,4,3,1,4 1,15,3,21,1 2,22 2,1,3,20,2,14,3 2,23,25,17,2 4]"
 76, 5,30, 11, 30,     pso, 62,0.19,   4.528,"[1,14,4,4,6,1 2,12,4 1,1,3 1,0,19,3 2,4,0,27,0,18,17,22 2,25,9,11,3,3,5,2 2,3,26 4,2 4,15,32,0 0,3,34,16,30,3 4,24,1,20,21,4 1,2 1,2,3 28,8,3,33,2,13,23,2,4,0,3,29,2 0,7,31,10,1]","[6,4,5,0,9,10,4,2 2,1,34,13,0,1,29,7,2 1,3,32,16,3 1,33,27,26 4,11,30,8,24,0,4,3,2,31,3 28,0 0,12,3 4,19,18,3,0,2 0,2,4 1,4,3,1,4 1,15,3,21,1 2,22 2,1,3,20,2,14,3 2,23,25,17,2 4]"
 40, 5,20,  7,  2, combine, 38,0.05,   0.000,"[23,1,25,1,6,16,15,3,4,0,27,6 0,9,28,6,4,4,26,1,22,1,12,3,17,18,0,20,21,0,13,24,0,14,0 10,19,0,11,1]","[9,20,6,6,1,0,3,12,19,22,28,0,0,1,0,16,23,11,0,1,4,1,1,4,6 0,4,24,17,26,13,21,18,27,15,0 10,14,25,3]"
 40, 5,20,  7,  2,combineS, 38,0.05,   0.000,"[23,1,25,1,6,16,15,3,4,0,27,6 0,9,28,6,4,4,26,1,22,1,12,3,17,18,0,20,21,0,13,24,0,14,0 10,19,0,11,1]","[9,20,6,6,1,0,3,12,19,22,28,0,0,1,0,16,23,11,0,1,4,1,1,4,6 0,4,24,17,26,13,21,18,27,15,0 10,14,25,3]"
