size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 54, 7,23,  5,  9, combine, 48,0.11,   0.000,"[2,5,2,20,0,3 2,4,1,23,26,9,12,24,5,2,15,1,0,6,29,4,27 6,3,3,17,19,13,6 2,1,10,18,7,22,16,6,0 11,0,21,1 4,4,25,28,3,8,5 5,5,4,14]","[4,0 11,1,29,26,13,5,1 4,6,1,3,19,0,22,18,4,2,10,3,21,12,3 2,16,27 6,5,24,0,17,1,4,6 2,2,6,28,9,15,2,4,8,0,14,3,5 5,20,23,7,5,25]"
 54, 7,23,  5,  9,combineS, 48,0.11,   0.001,"[2,5,2,20,0,3 2,4,1,23,26,9,12,24,5,2,15,1,0,6,29,4,27 6,3,3,17,19,13,6 2,1,10,18,7,22,16,6,0 11,0,21,1 4,4,25,28,3,8,5 5,5,4,14]","[4,0 11,1,29,26,13,5,1 4,6,1,3,19,0,22,18,4,2,10,3,21,12,3 2,16,27 6,5,24,0,17,1,4,6 2,2,6,28,9,15,2,4,8,0,14,3,5 5,20,23,7,5,25]"
 54, 7,23,  5,  9,  greedy, 48,0.11,   0.008,"[2,5,2,20,0,3 2,4,1,23,26,9,12,24,5,2,15,1,0,6,29,4,27 6,3,3,17,19,13,6 2,1,10,18,7,22,16,6,0 11,0,21,1 4,4,25,28,3,8,5 5,5,4,14]","[4,0 11,1,29,26,13,5,1 4,6,1,3,19,0,22,18,4,2,10,3,21,12,3 2,16,27 6,5,24,0,17,1,4,6 2,2,6,28,9,15,2,4,8,0,14,3,5 5,20,23,7,5,25]"
 54, 7,23,  5,  9,     pso, 48,0.11,   1.079,"[2,5,2,20,0,3 2,4,1,23,26,9,12,24,5,2,15,1,0,6,29,4,27 6,3,3,17,19,13,6 2,1,10,18,7,22,16,6,0 11,0,21,1 4,4,25,28,3,8,5 5,5,4,14]","[4,0 11,1,29,26,13,5,1 4,6,1,3,19,0,22,18,4,2,10,3,21,12,3 2,16,27 6,5,24,0,17,1,4,6 2,2,6,28,9,15,2,4,8,0,14,3,5 5,20,23,7,5,25]"
 64,10,18,  8, 17, combine, 55,0.14,   0.002,"[14,3,18,26 6,0,3,4,9,1,6,22,8,3 8,4,4,17 0,1,6 0,8,2,9,27,7,0,19,0 6,5,2,8 8,8,10,3,24,1 0 0,6,6,15,8,13,0,23 5,21,16,2,8,25,5,7,20,11,7,3,9,12,3]","[8,6,2,23 5,20,0,8,1,3,2,26 6,8,5,24,8,1,9,8,7,3 8,6 0,0,9,0,4,27,3,3,12,14,10,5,4,3,2,25,3,17 0,19,15,4,7,22,0 6,7,18,13,6,11,1 0 0,16,21,9,8 8,6]"
 64,10,18,  8, 17,combineS, 55,0.14,   0.002,"[14,3,18,26 6,0,3,4,9,1,6,22,8,3 8,4,4,17 0,1,6 0,8,2,9,27,7,0,19,0 6,5,2,8 8,8,10,3,24,1 0 0,6,6,15,8,13,0,23 5,21,16,2,8,25,5,7,20,11,7,3,9,12,3]","[8,6,2,23 5,20,0,8,1,3,2,26 6,8,5,24,8,1,9,8,7,3 8,6 0,0,9,0,4,27,3,3,12,14,10,5,4,3,2,25,3,17 0,19,15,4,7,22,0 6,7,18,13,6,11,1 0 0,16,21,9,8 8,6]"
 64,10,18,  8, 17,  greedy, 55,0.14,   0.021,"[14,3,18,26 6,0,3,4,9,1,6,22,8,3,8,4,4,17,0,1,6,0 8,2,9,27,7,0 19,0 6,5,2,8 8,8,10,3,24,1 0 0,6,6,15,8,13,0,23 5,21,16,2,8,25,5,7,20,11,7 3,9,12,3]","[8,6,2,23 5,20,0 8,1,3,2,26 6,8,5,24,8,1,9,8,7 3,8,6,0,0,9,0,4,27,3,3,12,14,10,5,4,3,2,25,3,17,0 19,15,4,7,22,0 6,7,18,13,6,11,1 0 0,16,21,9,8 8,6]"
 64,10,18,  8, 17,     pso, 55,0.14,   1.814,"[14,3,18,26 6,0,3,4,9,1,6,22,8,3,8,4,4,17,0,1,6,0 8,2,9,27,7,0 19,0 6,5,2,8 8,8,10,3,24,1 0 0,6,6,15,8,13,0,23 5,21,16,2,8,25,5,7,20,11,7 3,9,12,3]","[8,6,2,23 5,20,0 8,1,3,2,26 6,8,5,24,8,1,9,8,7 3,8,6,0,0,9,0,4,27,3,3,12,14,10,5,4,3,2,25,3,17,0 19,15,4,7,22,0 6,7,18,13,6,11,1 0 0,16,21,9,8 8,6]"
 54, 7,16,  8, 22, combine, 43,0.21,   0.000,"[22 5,5 4,4 18,3,6,2 11,19,9,3 4 3,6,10 0,4,14,21,0 0,2,20,12,8,16,15,7,5,5,5 0,2,5,0 5,1,6,1,2,1,0,3,4,1,5,17,13,0,4,4 6]","[6,20,4,22 5,1,4,0,6,4,8,4 6,5,2,15,2 11,2,4 18,1,1,17,5,3,13,3,14,5 4,2,0 5,21,19,6,0,16,9,1,7,10 0,3 4 3,12,5 0,5,0 0,5]"
 54, 7,16,  8, 22,combineS, 43,0.21,   0.001,"[22 5,5 4,4 18,3,6,2 11,19,9,3 4 3,6,10 0,4,14,21,0 0,2,20,12,8,16,15,7,5,5,5 0,2,5,0 5,1,6,1,2,1,0,3,4,1,5,17,13,0,4,4 6]","[6,20,4,22 5,1,4,0,6,4,8,4 6,5,2,15,2 11,2,4 18,1,1,17,5,3,13,3,14,5 4,2,0 5,21,19,6,0,16,9,1,7,10 0,3 4 3,12,5 0,5,0 0,5]"
 54, 7,16,  8, 22,  greedy, 44,0.19,   0.006,"[22 5,5 4,4 18,3,6,2 11,19,9,3,4,3,6,10,0,4,14,21,0 0,2,20,12,8,16,15,7,5,5,5,0,2,5 0 5,1,6,1,2,1,0 3 4,1,5,17,13,0,4,4 6]","[6,20,4,22 5,1,4,0,6,4,8,4 6,5,2,15,2 11,2,4 18,1,1,17,5,3,13,3,14,5 4,2,0,5,21,19,6,0,16,9,1,7,10,0 3 4,3,12,5 0 5,0 0,5]"
 54, 7,16,  8, 22,     pso, 43,0.21,   2.115,"[22 5,5 4,4 18,3,6,2 11,19,9,3 4 3,6,10 0,4,14,21,0 0,2,20,12,8,16,15,7,5,5,5,0,2,5 0 5,1,6,1,2,1,0,3,4,1,5,17,13,0,4,4 6]","[6,20,4,22 5,1,4,0,6,4,8,4 6,5,2,15,2 11,2,4 18,1,1,17,5,3,13,3,14,5 4,2,0,5,21,19,6,0,16,9,1,7,10 0,3 4 3,12,5 0 5,0 0,5]"
