size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 21, 5, 5,  7, 12,   ,     FPT, 15,0.30,   2.487,,
 22, 5, 5,  5, 11,   , combine, 16,0.29,   0.000,"[7,9,2 2,3,3,1 3 10,6,12 2,2,7 2,7,1,11,8,1 3,6]","[12 2,1 3 10,3,7,2 2,6,1,1 3,11,9,3,7,7 2,8,6,2]"
 22, 5, 5,  5, 11,   ,combineS, 16,0.29,   0.000,"[7,9,2 2,3,3,1 3 10,6,12 2,2,7 2,7,1,11,8,1 3,6]","[12 2,1 3 10,3,7,2 2,6,1,1 3,11,9,3,7,7 2,8,6,2]"
 22, 5, 5,  5, 11,   ,  greedy, 16,0.29,   0.001,"[7,9,2 2,3,3,1 3 10,6,12 2,2,7 2,7,1,11,8,1 3,6]","[12 2,1 3 10,3,7,2 2,6,1,1 3,11,9,3,7,7 2,8,6,2]"
 22, 5, 5,  5, 11,  0,     pso, 16,0.29,   1.291,"[7,9,2 2,3,3,1 3 10,6,12 2,2,7 2,7,1,11,8,1 3,6]","[12 2,1 3 10,3,7,2 2,6,1,1 3,11,9,3,7,7 2,8,6,2]"
 22, 5, 5,  5, 11,  0, psoPure, 16,0.29,   1.271,"[7,9,2 2,3,3,1 3 10,6,12 2,2,7 2,7,1,11,8,1 3,6]","[12 2,1 3 10,3,7,2 2,6,1,1 3,11,9,3,7,7 2,8,6,2]"
 22, 5, 5,  5, 11,   ,     FPT, 16,0.29,   1.162,,
 22, 7, 3,  6,  2,   , combine, 21,0.05,   0.000,"[3,7 1,4,6,7,4,6,4,8,2,11,1,3,2,4,8,9,10,4,8,4]","[4,7,8,7 1,2,6,6,11,4,3,4,4,9,2,1,4,10,8,8,3,4]"
 22, 7, 3,  6,  2,   ,combineS, 21,0.05,   0.000,"[3,7 1,4,6,7,4,6,4,8,2,11,1,3,2,4,8,9,10,4,8,4]","[4,7,8,7 1,2,6,6,11,4,3,4,4,9,2,1,4,10,8,8,3,4]"
 22, 7, 3,  6,  2,   ,  greedy, 21,0.05,   0.001,"[3,7 1,4,6,7,4,6,4,8,2,11,1,3,2,4,8,9,10,4,8,4]","[4,7,8,7 1,2,6,6,11,4,3,4,4,9,2,1,4,10,8,8,3,4]"
 22, 7, 3,  6,  2,  0,     pso, 21,0.05,   0.107,"[3,7 1,4,6,7,4,6,4,8,2,11,1,3,2,4,8,9,10,4,8,4]","[4,7,8,7 1,2,6,6,11,4,3,4,4,9,2,1,4,10,8,8,3,4]"
 22, 7, 3,  6,  2,  0, psoPure, 21,0.05,   0.106,"[3,7,1 4,6,7,4,6,4,8,2,11,1,3,2,4,8,9,10,4,8,4]","[4,7,8,7,1,2,6,6,11,4,3,4,4,9,2,1 4,10,8,8,3,4]"
 22, 7, 3,  6,  2,   ,     FPT, 20,0.10,   1.988,,
 22, 5, 8,  5,  8,   , combine, 18,0.19,   0.000,"[4,2 3,3,14,10,2,4,12,0,11 5,13,9,8,5 2,7,2,0 2,0]","[2,7,4,3,4,0,8,10,11 5,9,0,5 2,0 2,14,12,2 3,2,13]"
 22, 5, 8,  5,  8,   ,combineS, 17,0.24,   0.000,"[4,2 3,3,14,10,2,4,12,0,11 5,13,9,8,5,2 7,2 0 2,0]","[2 7,4,3,4,0,8,10,11 5,9,0,5,2 0 2,14,12,2 3,2,13]"
 22, 5, 8,  5,  8,   ,  greedy, 17,0.24,   0.001,"[4,2 3,3,14,10,2,4,12,0,11 5,13,9,8,5,2 7,2 0 2,0]","[2 7,4,3,4,0,8,10,11 5,9,0,5,2 0 2,14,12,2 3,2,13]"
 22, 5, 8,  5,  8,  0,     pso, 17,0.24,   0.827,"[4,2 3,3,14,10,2,4,12,0,11 5,13,9,8,5,2 7,2 0 2,0]","[2 7,4,3,4,0,8,10,11 5,9,0,5,2 0 2,14,12,2 3,2,13]"
 22, 5, 8,  5,  8,  0, psoPure, 17,0.24,   0.813,"[4,2 3,3,14,10,2,4,12,0,11 5,13,9,8,5,2 7,2 0 2,0]","[2 7,4,3,4,0,8,10,11 5,9,0,5,2 0 2,14,12,2 3,2,13]"
 22, 5, 8,  5,  8,   ,     FPT, 17,0.24,   0.509,,
 22, 5, 7,  4,  7,   , combine, 18,0.19,   0.000,"[6,3,0,4,1 3,11,3,8,9,1 1,1,5,3,4 5,12,0 7,10,4]","[3,10,4 5,1 1,8,0 7,1,4,3,11,4,9,0,5,1 3,3,6,12]"
 22, 5, 7,  4,  7,   ,combineS, 18,0.19,   0.000,"[6,3,0,4,1,3 11,3,8,9,1 1,1,5,3,4,5,12,0 7,10 4]","[3,10 4,5,1 1,8,0 7,1,4,3 11,4,9,0,5,1,3,3,6,12]"
 22, 5, 7,  4,  7,   ,  greedy, 18,0.19,   0.001,"[6,3,0,4,1,3 11,3,8,9,1 1,1,5,3,4,5,12,0 7,10 4]","[3,10 4,5,1 1,8,0 7,1,4,3 11,4,9,0,5,1,3,3,6,12]"
 22, 5, 7,  4,  7,  0,     pso, 18,0.19,   0.860,"[6,3,0,4,1 3,11,3,8,9,1 1,1,5,3,4 5,12,0 7,10,4]","[3,10,4 5,1 1,8,0 7,1,4,3,11,4,9,0,5,1 3,3,6,12]"
 22, 5, 7,  4,  7,  0, psoPure, 18,0.19,   0.867,"[6,3,0,4,1,3 11,3,8,9,1 1,1,5,3,4 5,12,0 7,10,4]","[3,10,4 5,1 1,8,0 7,1,4,3 11,4,9,0,5,1,3,3,6,12]"
 22, 5, 7,  4,  7,   ,     FPT, 18,0.19,   2.233,,
 23, 6, 6,  5, 11,   , combine, 18,0.23,   0.000,"[0,3 4,8,3,0,4,0,4,0,9,12,5 2 3,1,10 7,2,5,0 11,1]","[5,3,1,0,10 7,12,3 4,0,0 11,2,5 2 3,9,0,0,1,4,8,4]"
 23, 6, 6,  5, 11,   ,combineS, 17,0.27,   0.000,"[0,3,4 8,3,0,4 0,4,0,9,12,5 2 3,1,10 7,2,5,0 11,1]","[5,3,1,0,10 7,12,3,4 0,0 11,2,5 2 3,9,0,0,1,4 8,4]"
 23, 6, 6,  5, 11,   ,  greedy, 17,0.27,   0.001,"[0,3,4 8,3,0,4 0,4,0,9,12,5 2 3,1,10 7,2,5,0 11,1]","[5,3,1,0,10 7,12,3,4 0,0 11,2,5 2 3,9,0,0,1,4 8,4]"
 23, 6, 6,  5, 11,  0,     pso, 17,0.27,   1.542,"[0,3,4 8,3,0,4 0,4,0,9,12,5 2 3,1,10 7,2,5,0 11,1]","[5,3,1,0,10 7,12,3,4 0,0 11,2,5 2 3,9,0,0,1,4 8,4]"
 23, 6, 6,  5, 11,  0, psoPure, 17,0.27,   1.514,"[0,3,4 8,3,0,4 0,4,0,9,12,5 2 3,1,10 7,2,5,0 11,1]","[5,3,1,0,10 7,12,3,4 0,0 11,2,5 2 3,9,0,0,1,4 8,4]"
 23, 6, 6,  5, 11,   ,     FPT, 16,0.32,   2.238,,
 23, 6, 2,  5, 13,   , combine, 18,0.23,   0.000,"[3 2,6,1 1,0 3,8,2 2,1,6,7,5,2 6,1,5,3,3,3,1,0]","[1 1,6,2 6,3,5,1,2 2,3,3 2,7,0,8,6,3,5,1,0 3,1]"
 23, 6, 2,  5, 13,   ,combineS, 18,0.23,   0.000,"[3 2,6,1 1,0 3,8,2 2,1,6,7,5,2 6,1,5,3,3,3,1,0]","[1 1,6,2 6,3,5,1,2 2,3,3 2,7,0,8,6,3,5,1,0 3,1]"
 23, 6, 2,  5, 13,   ,  greedy, 17,0.27,   0.001,"[3 2,6,1,1 0 3,8,2 2,1 6,7,5,2 6,1,5,3,3,3,1,0]","[1,1 6,2 6,3,5,1,2 2,3,3 2,7,0,8,6,3,5,1 0 3,1]"
 23, 6, 2,  5, 13,  0,     pso, 17,0.27,   1.721,"[3 2,6,1,1 0 3,8,2 2,1 6,7,5,2 6,1,5,3,3,3,1,0]","[1,1 6,2 6,3,5,1,2 2,3,3 2,7,0,8,6,3,5,1 0 3,1]"
 23, 6, 2,  5, 13,  0, psoPure, 17,0.27,   1.759,"[3 2,6,1,1 0 3,8,2 2,1 6,7,5,2 6,1,5,3,3,3,1,0]","[1,1 6,2 6,3,5,1,2 2,3,3 2,7,0,8,6,3,5,1 0 3,1]"
 23, 6, 2,  5, 13,   ,     FPT, 17,0.27,  24.002,,
 23, 4,11,  4,  7,   , combine, 20,0.14,   0.000,"[2 1,10,12,5,6 2,13,0,9,1,8 7,3,0,2,11,15,14,0,2,1,3]","[11,2,9,12,1,10,0,3,13,15,2 1,3,2,14,6 2,0,1,5,0,8 7]"
 23, 4,11,  4,  7,   ,combineS, 18,0.23,   0.000,"[2,1 10,12,5,6 2,13,0,9,1,8 7,3,0,2,11,15,14,0,2 1 3]","[11,2,9,12,1 10,0,3,13,15,2 1 3,2,14,6 2,0,1,5,0,8 7]"
 23, 4,11,  4,  7,   ,  greedy, 18,0.23,   0.001,"[2,1 10,12,5,6 2,13,0,9,1,8 7,3,0,2,11,15,14,0,2 1 3]","[11,2,9,12,1 10,0,3,13,15,2 1 3,2,14,6 2,0,1,5,0,8 7]"
 23, 4,11,  4,  7,  0,     pso, 18,0.23,   0.752,"[2,1 10,12,5,6 2,13,0,9,1,8 7,3,0,2,11,15,14,0,2 1 3]","[11,2,9,12,1 10,0,3,13,15,2 1 3,2,14,6 2,0,1,5,0,8 7]"
 23, 4,11,  4,  7,  0, psoPure, 18,0.23,   0.736,"[2,1 10,12,5,6 2,13,0,9,1,8 7,3,0,2,11,15,14,0,2 1 3]","[11,2,9,12,1 10,0,3,13,15,2 1 3,2,14,6 2,0,1,5,0,8 7]"
 23, 4,11,  4,  7,   ,     FPT, 18,0.23,   0.264,,
 23, 5, 6,  7, 10,   , combine, 19,0.18,   0.000,"[8,0,10,11,1,0,5,2,4,1 5,2,5 5,5,6,1,7 1,4,9,5 5]","[10,1 5,0,6,5,4,5 5,8,2,1,5,11,2,0,9,1,5 5,4,7 1]"
 23, 5, 6,  7, 10,   ,combineS, 19,0.18,   0.000,"[8,0,10,11,1,0,5,2,4,1 5,2,5 5,5,6,1,7 1,4,9,5 5]","[10,1 5,0,6,5,4,5 5,8,2,1,5,11,2,0,9,1,5 5,4,7 1]"
 23, 5, 6,  7, 10,   ,  greedy, 19,0.18,   0.001,"[8,0,10,11,1,0,5,2,4,1 5,2,5 5,5,6,1,7 1,4,9,5 5]","[10,1 5,0,6,5,4,5 5,8,2,1,5,11,2,0,9,1,5 5,4,7 1]"
 23, 5, 6,  7, 10,  0,     pso, 19,0.18,   1.034,"[8,0,10,11,1,0,5,2,4,1 5,2,5 5,5,6,1,7 1,4,9,5 5]","[10,1 5,0,6,5,4,5 5,8,2,1,5,11,2,0,9,1,5 5,4,7 1]"
 23, 5, 6,  7, 10,  0, psoPure, 19,0.18,   1.056,"[8,0,10,11,1,0,5,2,4,1 5,2,5,5 5,6,1,7 1,4,9,5 5]","[10,1,5,0,6,5,4,5 5,8,2,1 5,11,2,0,9,1,5 5,4,7 1]"
 23, 5, 6,  7, 10,   ,     FPT, 18,0.23,   9.731,,
 24, 4, 7,  6, 13,   , combine, 18,0.26,   0.000,"[10,11,2,12,1 5,9,5,1,5,1,5,0 2,1,0,8,7 1 6,2 2,2 2]","[11,1,2,8,1 5,7 1 6,10,1,2 2,5,5,5,12,2 2,0 2,0,1,9]"
