size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 59, 7,12, 11, 38, combine, 43,0.28,   0.001,"[1 14,4 2,1 3,5,11,1,3 4,0,9,6,5 13,2 4,6 2,15,6 1,12,2,4,2,6 0,6 6,4,2,18,3,1,4 4,1,8,4,5,3 6,17 1,7,5,3 2,16 6 1,10,4,5,6,6,6]","[1,9,4,1,6 1,2,6 2,16 6 1,1,5,2 4,3 4,4 4,8,6,1 14,5,6 0,7,11,6 6,12,4 2,3 2,5,5,18,6,2,5 13,6,3,15,4,4,3 6,2,17 1,0,4,10,1 3,6]"
 59, 7,12, 11, 38,combineS, 42,0.29,   0.001,"[1 14,4 2,1 3,5,11,1,3 4,0,9,6,5 13,2 4,6 2,15,6 1,12,2,4,2 6,0,6 6,4,2,18,3,1,4 4,1,8,4,5,3 6,17 1,7,5,3,2 16 6 1,10,4,5 6,6,6]","[1,9,4,1,6 1,2 6,2 16 6 1,1,5,2 4,3 4,4 4,8,6,1 14,5 6,0,7,11,6 6,12,4 2,3,2,5,5,18,6 2,5 13,6,3,15,4,4,3 6,2,17 1,0,4,10,1 3,6]"
 59, 7,12, 11, 38,  greedy, 43,0.28,   0.009,"[1 14,4 2,1 3,5,11,1,3 4,0,9,6,5 13,2,4,6 2,15,6 1,12,2 4,2 6,0,6,6,4,2,18,3,1,4,4 1,8,4,5,3 6,17 1,7,5,3,2 16 6 1,10,4,5,6 6,6]","[1,9,4 1,6 1,2 6,2 16 6 1,1,5,2 4,3 4,4,4,8,6,1 14,5,6,0,7,11,6 6,12,4 2,3,2,5,5,18,6 2,5 13,6,3,15,4,4,3 6,2,17 1,0,4,10,1 3,6]"
 59, 7,12, 11, 38,     pso, 42,0.29,   2.400,"[1 14,4 2,1 3,5,11,1,3 4,0,9,6,5 13,2,4,6 2,15,6 1,12,2 4,2 6,0,6,6,4,2,18,3,1,4 4,1,8,4,5,3 6,17 1,7,5,3,2 16 6 1,10,4,5 6,6 6]","[1,9,4,1,6 1,2 6,2 16 6 1,1,5,2 4,3 4,4,4,8,6,1 14,5 6,0,7,11,6 6,12,4 2,3,2,5,5,18,6 2,5 13,6,3,15,4 4,3 6,2,17 1,0,4,10,1 3,6]"
 64, 8,24,  7, 18, combine, 54,0.16,   0.000,"[1,21,16 2,29,10,3,5,0 1,5,18,0,1 17,5,8,6,24,2 6,7,4 7,5 7,5,7 2,12,6,30,7,11,0,7 7,2 0,6,5,28,3,13,31,27,14,1 3,9,1,19,23,22,4,0,6,1,20,6,25,26,0,15]","[29,5,19,0,28,27,5,12,7 7,0 1,20,26,13,1,5,25,6,6,1 17,7 2,9,6,0,30,0,10,6,15,1 3,1,5,5,6,8,2 0,16 2,7,0,4 7,23,21,14,18,3,4,11,2 6,22,31,7,24,1,5 7,3]"
 64, 8,24,  7, 18,combineS, 53,0.17,   0.001,"[1,21,16 2,29,10,3,5,0,1 5,18,0,1 17,5,8,6,24,2 6,7,4 7,5 7,5,7 2,12,6,30,7,11,0,7 7,2 0,6,5,28,3,13,31,27,14,1 3,9,1,19,23,22,4,0,6,1 20,6,25,26,0,15]","[29,5,19,0,28,27,5,12,7 7,0,1 20,26,13,1 5,25,6,6,1 17,7 2,9,6,0,30,0,10,6,15,1 3,1,5,5,6,8,2 0,16 2,7,0,4 7,23,21,14,18,3,4,11,2 6,22,31,7,24,1,5 7,3]"
 64, 8,24,  7, 18,  greedy, 53,0.17,   0.010,"[1,21,16 2,29,10,3,5,0,1 5,18,0,1 17,5,8,6,24,2 6,7,4 7,5 7,5,7 2,12,6,30,7,11,0,7 7,2 0,6,5,28,3,13,31,27,14,1 3,9,1,19,23,22,4,0,6,1 20,6,25,26,0,15]","[29,5,19,0,28,27,5,12,7 7,0,1 20,26,13,1,5,25,6,6,1 17,7 2,9,6,0,30,0,10,6,15,1 3,1 5,5,6,8,2 0,16 2,7,0,4 7,23,21,14,18,3,4,11,2 6,22,31,7,24,1,5 7,3]"
 64, 8,24,  7, 18,     pso, 53,0.17,   0.951,"[1,21,16 2,29,10,3,5,0,1 5,18,0,1 17,5,8,6,24,2 6,7,4 7,5 7,5,7 2,12,6,30,7,11,0,7 7,2 0,6,5,28,3,13,31,27,14,1 3,9,1,19,23,22,4,0,6,1 20,6,25,26,0,15]","[29,5,19,0,28,27,5,12,7 7,0,1 20,26,13,1,5,25,6,6,1 17,7 2,9,6,0,30,0,10,6,15,1 3,1 5,5,6,8,2 0,16 2,7,0,4 7,23,21,14,18,3,4,11,2 6,22,31,7,24,1,5 7,3]"
 56, 6,12,  9, 36, combine, 44,0.22,   0.000,"[1 5,14,16,3,1 1,3 5,7,6,2,5,8,1,11,5 1,3,4 3,3,4,4,1,0 0,4,4 3,4,2 12,5,3,13,5,0 1,0,17,9,10,15,2,3,4,2,1 4,3,0,5 2,5 4]","[15,5,6,4 3,0 0,1 4,3 5,3,1 5,11,4,5 4,16,13,1,3,3,3,2,4 3,2 12,17,2,0,4,8,3,3,5,4,5 2,1 1,2,4,7,5,10,14,0,9,5 1,4,0 1,1]"
 56, 6,12,  9, 36,combineS, 44,0.22,   0.001,"[1 5,14,16,3,1 1,3 5,7,6,2,5,8,1,11,5 1,3,4 3,3,4,4,1,0 0,4,4 3,4,2 12,5,3,13,5,0 1,0,17,9,10,15,2,3,4,2,1 4,3,0,5 2,5 4]","[15,5,6,4 3,0 0,1 4,3 5,3,1 5,11,4,5 4,16,13,1,3,3,3,2,4 3,2 12,17,2,0,4,8,3,3,5,4,5 2,1 1,2,4,7,5,10,14,0,9,5 1,4,0 1,1]"
 56, 6,12,  9, 36,  greedy, 42,0.25,   0.006,"[1 5,14,16,3,1 1,3 5,7,6,2,5,8,1,11,5,1 3,4 3,3,4,4,1,0,0 4,4 3,4,2 12,5 3,13,5,0 1,0,17,9,10,15,2,3,4,2,1,4 3 0,5 2,5 4]","[15,5,6,4 3 0,0 1,4 3,5 3,1 5,11,4,5 4,16,13,1 3,3,3,2,4 3,2 12,17,2,0 4,8,3,3 5,4,5 2,1 1,2,4,7,5,10,14,0,9,5,1,4,0,1,1]"
 56, 6,12,  9, 36,     pso, 42,0.25,   1.822,"[1 5,14,16,3,1 1,3 5,7,6,2,5,8,1,11,5,1 3,4 3,3,4,4,1,0,0 4,4 3,4,2 12,5 3,13,5,0 1,0,17,9,10,15,2,3,4,2,1,4 3 0,5 2,5 4]","[15,5,6,4 3 0,0 1,4 3,5 3,1 5,11,4,5 4,16,13,1 3,3,3,2,4 3,2 12,17,2,0 4,8,3,3 5,4,5 2,1 1,2,4,7,5,10,14,0,9,5,1,4,0,1,1]"
 74, 6,23, 12, 46, combine, 61,0.18,   0.001,"[18,5 0,5,5,24,12,1 0,22,1 4,4 27,0,14,28,20 4,6,3 1,0,4,4 5,1,1,0 0,1,3 4,1,3,4 1,16,4,5,0,23,1,15,25,4,10,19,5,4,5 3,2,13,4,21,2,7,8,0 3,4,26,11,0 1,2,2,2,3,5,9,17,5]","[5 3,7,3,16,2,5,2,24,21,3 1,9,22,3 4,12,5 0,23,2,5,1,11,4 1,17,0,1 0,1,10,28,0,8,4,20 4,4,1,25,0 3,5,1,5,26,2,14,5,1,19,4,2,4,0,18,4 5,4,4 27,3,0 1,13,5,0 0,1 4,6,4,15]"
 74, 6,23, 12, 46,combineS, 59,0.21,   0.001,"[18,5 0,5,5,24,12,1 0,22,1,4 4 27,0,14,28,20 4,6,3 1,0,4,4 5,1,1,0,0 1,3 4,1,3,4 1,16,4,5 0 23,1,15,25,4,10,19,5,4,5 3,2,13,4,21,2,7,8,0 3,4,26,11,0 1,2,2,2,3,5,9,17,5]","[5 3,7,3,16,2,5,2,24,21,3 1,9,22,3 4,12,5 0 23,2,5,1,11,4 1,17,0,1 0,1,10,28,0,8,4,20 4,4,1,25,0 3,5,1,5,26,2,14,5,1,19,4,2,4,0,18,4 5,4 4 27,3,0 1,13,5 0,0 1,4,6,4,15]"
 74, 6,23, 12, 46,  greedy, 58,0.22,   0.014,"[18,5,0,5,5,24,12,1 0,22,1,4 4 27,0,14,28,20,4 6,3 1,0,4 4,5 1,1,0 0 1,3 4,1,3,4 1,16,4,5 0 23,1,15,25,4,10,19,5,4,5 3,2,13,4,21,2,7,8,0,3,4,26,11,0 1,2,2,2,3 5,9,17,5]","[5 3,7,3,16,2,5,2,24,21,3 1,9,22,3 4,12,5 0 23,2,5 1,11,4 1,17,0,1 0,1,10,28,0,8,4,20,4 4,1,25,0,3 5,1,5,26,2,14,5,1,19,4,2,4,0,18,4,5,4 4 27,3,0 1,13,5,0 0 1,4 6,4,15]"
 74, 6,23, 12, 46,     pso, 58,0.22,   2.837,"[18,5,0,5,5,24,12,1 0,22,1,4 4 27,0,14,28,20,4 6,3 1,0,4 4,5 1,1,0 0 1,3 4,1,3,4 1,16,4,5 0 23,1,15,25,4,10,19,5,4,5 3,2,13,4,21,2,7,8,0,3,4,26,11,0 1,2,2,2,3 5,9,17,5]","[5 3,7,3,16,2,5,2,24,21,3 1,9,22,3 4,12,5 0 23,2,5 1,11,4 1,17,0,1 0,1,10,28,0,8,4,20,4 4,1,25,0,3 5,1,5,26,2,14,5,1,19,4,2,4,0,18,4,5,4 4 27,3,0 1,13,5,0 0 1,4 6,4,15]"
 57, 8,23,  9, 12, combine, 50,0.12,   0.001,"[4,6 16,5 3,28,10,5,21,5,0,17,3 3,23,25,4,14,5,3,18,7,12,3,24,9,19 5,1 5,7,11,0,1 4,13,1,15,4,5,30,7,27,8,20,22,6,26,29,1,5,6,6,2,1,5 2]","[19 5,18,6 16,11,30,21,14,6,9,8,5,10,4,7,3 3,7,5 2,3,5,15,5,26,27,7,29,13,1 4,24,0,6,20,4,23,3,22,1,25,6,4,17,12,0,5,5,2,28,1,1 5,5 3,1]"
 57, 8,23,  9, 12,combineS, 50,0.12,   0.001,"[4,6 16,5 3,28,10,5,21,5,0,17,3 3,23,25,4,14,5,3,18,7,12,3,24,9,19 5,1 5,7,11,0,1,4,13 1,15,4,5,30,7,27,8,20,22,6,26,29,1,5,6,6,2,1,5 2]","[19 5,18,6 16,11,30,21,14,6,9,8,5,10,4,7,3 3,7,5 2,3,5,15,5,26,27,7,29,13 1,4,24,0,6,20,4,23,3,22,1,25,6,4,17,12,0,5,5,2,28,1,1 5,5 3,1]"
 57, 8,23,  9, 12,  greedy, 50,0.12,   0.007,"[4,6 16,5 3,28,10,5,21,5,0,17,3 3,23,25,4,14,5,3,18,7,12,3,24,9,19 5,1 5,7,11,0,1,4,13 1,15,4,5,30,7,27,8,20,22,6,26,29,1,5,6,6,2,1,5 2]","[19 5,18,6 16,11,30,21,14,6,9,8,5,10,4,7,3 3,7,5 2,3,5,15,5,26,27,7,29,13 1,4,24,0,6,20,4,23,3,22,1,25,6,4,17,12,0,5,5,2,28,1,1 5,5 3,1]"
 57, 8,23,  9, 12,     pso, 50,0.12,   0.529,"[4,6 16,5 3,28,10,5,21,5,0,17,3 3,23,25,4,14,5,3,18,7,12,3,24,9,19 5,1 5,7,11,0,1,4,13 1,15,4,5,30,7,27,8,20,22,6,26,29,1,5,6,6,2,1,5 2]","[19 5,18,6 16,11,30,21,14,6,9,8,5,10,4,7,3 3,7,5 2,3,5,15,5,26,27,7,29,13 1,4,24,0,6,20,4,23,3,22,1,25,6,4,17,12,0,5,5,2,28,1,1 5,5 3,1]"
 73, 9,26,  9, 25, combine, 62,0.15,   0.000,"[4,31,5 0,5,4 11,0,3,17,1,20,30,1,25,2 7,22,6 8,10,1 1,4,6,23 13,4,0,32,26,21,0,27,7,5,14,5 7,7,1,6,33,19,6,12,2,16,34,6 8 1,2,2,0,1,8,8,2 6,0,5,7,28,24,29,15,9,8 1,18,1,3]","[5 7,0,0,1 1,0,4,22,17,20,8 1,15,18,5,2 6,4,2,6,6,3,5,1,31,4,25,16,32,23 13,2 7,34,21,29,6,28,5 0,7,26,7,2,8,1,4 11,3,6 8 1,8,1,27,2,1,12,10,5,6 8,7,0,24,30,0,14,33,9,19,1]"
 73, 9,26,  9, 25,combineS, 62,0.15,   0.001,"[4,31,5 0,5,4 11,0,3,17,1,20,30,1,25,2 7,22,6 8,10,1 1,4,6,23 13,4,0,32,26,21,0,27,7,5,14,5 7,7,1,6,33,19,6,12,2,16,34,6 8 1,2,2,0,1,8,8,2 6,0,5,7,28,24,29,15,9,8 1,18,1,3]","[5 7,0,0,1 1,0,4,22,17,20,8 1,15,18,5,2 6,4,2,6,6,3,5,1,31,4,25,16,32,23 13,2 7,34,21,29,6,28,5 0,7,26,7,2,8,1,4 11,3,6 8 1,8,1,27,2,1,12,10,5,6 8,7,0,24,30,0,14,33,9,19,1]"
