size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 30, 2,23,  5,  0,   ,combineS, 30,0.00,   0.000,"[1,2,2,2,2,2,3,4,4,5,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[2,30,11,24,13,15,19,22,17,23,29,27,2,25,3,12,20,4,16,26,18,2,14,2,5,21,1,4,2,28]"
 30, 2,23,  5,  0,   ,  greedy, 30,0.00,   0.002,"[1,2,2,2,2,2,3,4,4,5,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[2,30,11,24,13,15,19,22,17,23,29,27,2,25,3,12,20,4,16,26,18,2,14,2,5,21,1,4,2,28]"
 30, 2,23,  5,  0,  0,     pso, 30,0.00,   0.024,"[1,2,2,2,2,2,3,4,4,5,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[2,30,11,24,13,15,19,22,17,23,29,27,2,25,3,12,20,4,16,26,18,2,14,2,5,21,1,4,2,28]"
 30, 2,23,  5,  0,   ,     FPT, 30,0.00,   0.021,"",""
 30, 3,18,  5,  5,   , combine, 28,0.07,   0.000,"[1,2,3,3,3 4,4,4,4,5 5,5,5,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[20,15,3,23,25,5,30,1,3,2,29,24,17,16,21,19,26,5,27,5 5,4,3 4,18,5,4,28,22,4]"
 30, 3,18,  5,  5,   ,combineS, 28,0.07,   0.000,"[1,2,3,3,3 4,4,4,4,5 5,5,5,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[20,15,3,23,25,5,30,1,3,2,29,24,17,16,21,19,26,5,27,5 5,4,3 4,18,5,4,28,22,4]"
 30, 3,18,  5,  5,   ,  greedy, 28,0.07,   0.002,"[1,2,3,3,3 4,4,4,4,5 5,5,5,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[20,15,3,23,25,5,30,1,3,2,29,24,17,16,21,19,26,5,27,5 5,4,3 4,18,5,4,28,22,4]"
 30, 3,18,  5,  5,  0,     pso, 28,0.07,   0.430,"[1,2,3,3,3 4,4,4,4,5 5,5,5,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[20,15,3,23,25,5,30,1,3,2,29,24,17,16,21,19,26,5,27,5 5,4,3 4,18,5,4,28,22,4]"
 30, 3,18,  5,  5,   ,     FPT, 28,0.07,   0.695,"",""
 30, 4,14,  5, 13,   , combine, 26,0.14,   0.000,"[1 1 1,1,1,2,3,3,3,3,4 4,5,5,5,5,5,18,19,20,21,22,23 24,25,26,27,28,29,30]","[19,23 24,5,3,5,1 1 1,21,29,27,4 4,3,5,28,5,26,18,3,5,1,22,2,25,3,30,20,1]"
 30, 4,14,  5, 13,   ,combineS, 26,0.14,   0.000,"[1 1 1,1,1,2,3,3,3,3,4 4,5,5,5,5,5,18,19,20,21,22,23 24,25,26,27,28,29,30]","[19,23 24,5,3,5,1 1 1,21,29,27,4 4,3,5,28,5,26,18,3,5,1,22,2,25,3,30,20,1]"
 30, 4,14,  5, 13,   ,  greedy, 26,0.14,   0.002,"[1 1 1,1,1,2,3,3,3,3,4 4,5,5,5,5,5,18,19,20,21,22,23 24,25,26,27,28,29,30]","[19,23 24,5,3,5,1 1 1,21,29,27,4 4,3,5,28,5,26,18,3,5,1,22,2,25,3,30,20,1]"
 30, 4,14,  5, 13,  0,     pso, 26,0.14,   1.188,"[1 1 1,1,1,2,3,3,3,3,4 4,5,5,5,5,5,18,19,20,21,22,23 24,25,26,27,28,29,30]","[19,23 24,5,3,5,1 1 1,21,29,27,4 4,3,5,28,5,26,18,3,5,1,22,2,25,3,30,20,1]"
 30, 4,14,  5, 13,   ,     FPT, 26,0.14,  12.594,"",""
 30, 3,19,  5,  2,   , combine, 28,0.07,   0.000,"[1,1,1,1,2,2,3,3,3,3,3,4 5,14,15 16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[25,22,3,1,4 5,20,15 16,3,27,3,19,24,18,14,1,23,3,21,2,26,30,28,1,3,29,2,17,1]"
 30, 3,19,  5,  2,   ,combineS, 28,0.07,   0.000,"[1,1,1,1,2,2,3,3,3,3,3,4 5,14,15 16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[25,22,3,1,4 5,20,15 16,3,27,3,19,24,18,14,1,23,3,21,2,26,30,28,1,3,29,2,17,1]"
 30, 3,19,  5,  2,   ,  greedy, 28,0.07,   0.002,"[1,1,1,1,2,2,3,3,3,3,3,4 5,14,15 16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[25,22,3,1,4 5,20,15 16,3,27,3,19,24,18,14,1,23,3,21,2,26,30,28,1,3,29,2,17,1]"
 30, 3,19,  5,  2,  0,     pso, 28,0.07,   0.143,"[1,1,1,1,2,2,3,3,3,3,3,4 5,14,15 16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[25,22,3,1,4 5,20,15 16,3,27,3,19,24,18,14,1,23,3,21,2,26,30,28,1,3,29,2,17,1]"
 30, 3,19,  5,  2,   ,     FPT, 28,0.07,   0.189,"",""
 30, 4,16,  4,  2,   , combine, 28,0.07,   0.000,"[1,1,2,3,3,3,3 4,4,4,4 5,5,5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[19,27,29,5,1,3 4,18,3,28,5,4,1,3,23,5,4 5,24,17,4,26,3,22,20,16,2,25,21,30]"
 30, 4,16,  4,  2,   ,combineS, 28,0.07,   0.000,"[1,1,2,3,3,3,3 4,4,4,4 5,5,5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[19,27,29,5,1,3 4,18,3,28,5,4,1,3,23,5,4 5,24,17,4,26,3,22,20,16,2,25,21,30]"
 30, 4,16,  4,  2,   ,  greedy, 28,0.07,   0.002,"[1,1,2,3,3,3,3 4,4,4,4 5,5,5,5,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[19,27,29,5,1,3 4,18,3,28,5,4,1,3,23,5,4 5,24,17,4,26,3,22,20,16,2,25,21,30]"
