size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 52, 7,23,  7, 10,   ,combineS, 45,0.14,   0.001,"[5,14,6,20,22,8 7,29,30,19,27,2 7,1 1,6,1,5,7,6 9,24 6,7,15,12,16,7,5 5,6,4,2,26,4 6,13,3,28,7,11,6,10,3,3,25,17,23,2,21,18,1]","[6,1 1,30,16,6 9,12,17,3,7,20,13,28,2 7,2,4 6,25,4,10,24 6,29,1,27,21,7,8 7,2,15,7,14,11,5 5,3,18,6,5,6,22,26,1,23,5,19,3,7,6]"
 52, 7,23,  7, 10,   ,  greedy, 45,0.14,   0.008,"[5,14,6,20,22,8 7,29,30,19,27,2 7,1,1,6 1,5,7,6 9,24 6,7,15,12,16,7,5,5 6,4,2,26,4 6,13,3,28,7,11,6,10,3,3,25,17,23,2,21,18,1]","[6 1,1,30,16,6 9,12,17,3,7,20,13,28,2 7,2,4 6,25,4,10,24 6,29,1,27,21,7,8 7,2,15,7,14,11,5,5,3,18,6,5 6,22,26,1,23,5,19,3,7,6]"
 52, 7,23,  7, 10,  0,    pso1, 45,0.14,   1.694,"[5,14,6,20,22,8 7,29,30,19,27,2 7,1 1,6,1,5,7 6,9,24 6,7,15,12,16,7,5 5,6,4,2,26,4 6,13,3,28,7,11,6,10,3,3,25,17,23,2,21,18,1]","[6,1 1,30,16,6,9,12,17,3,7,20,13,28,2 7,2,4 6,25,4,10,24 6,29,1,27,21,7,8 7,2,15,7,14,11,5 5,3,18,6,5,6,22,26,1,23,5,19,3,7 6]"
 52, 7,23,  7, 10,  0,    psoN, 45,0.14,   1.919,"[5,14,6,20,22,8 7,29,30,19,27,2 7,1 1,6,1,5,7 6,9,24 6,7,15,12,16,7,5 5,6,4,2,26,4 6,13,3,28,7,11,6,10,3,3,25,17,23,2,21,18,1]","[6,1 1,30,16,6,9,12,17,3,7,20,13,28,2 7,2,4 6,25,4,10,24 6,29,1,27,21,7,8 7,2,15,7,14,11,5 5,3,18,6,5,6,22,26,1,23,5,19,3,7 6]"
 53, 8,28,  5,  4,   , combine, 49,0.08,   0.000,"[7,24,0,10,2,4,3,19,15,4 7,13,6,0,30,7,1,27,35,5,7,34,12,21,11,9,26,2,16,29,31,1,8,33,18,7,1,32 4,14,1,6 3,28,1 22,6,25,17,23,5,4,20]","[34,32 4,18,27,10,15,1,1 22,11,25,5,5,19,12,2,14,21,13,2,1,9,33,31,0,7,4 7,6,24,3,30,1,26,7,6,6 3,4,23,17,7,7,20,1,35,29,0,16,4,8,28]"
 53, 8,28,  5,  4,   ,combineS, 49,0.08,   0.001,"[7,24,0,10,2,4,3,19,15,4 7,13,6,0,30,7,1,27,35,5,7,34,12,21,11,9,26,2,16,29,31,1,8,33,18,7,1,32 4,14,1,6 3,28,1 22,6,25,17,23,5,4,20]","[34,32 4,18,27,10,15,1,1 22,11,25,5,5,19,12,2,14,21,13,2,1,9,33,31,0,7,4 7,6,24,3,30,1,26,7,6,6 3,4,23,17,7,7,20,1,35,29,0,16,4,8,28]"
 53, 8,28,  5,  4,   ,  greedy, 49,0.08,   0.010,"[7,24,0,10,2,4,3,19,15,4 7,13,6,0,30,7,1,27,35,5,7,34,12,21,11,9,26,2,16,29,31,1,8,33,18,7,1,32 4,14,1,6 3,28,1 22,6,25,17,23,5,4,20]","[34,32 4,18,27,10,15,1,1 22,11,25,5,5,19,12,2,14,21,13,2,1,9,33,31,0,7,4 7,6,24,3,30,1,26,7,6,6 3,4,23,17,7,7,20,1,35,29,0,16,4,8,28]"
 53, 8,28,  5,  4,  0,    pso1, 49,0.08,   0.482,"[7,24,0,10,2,4,3,19,15,4 7,13,6,0,30,7,1,27,35,5,7,34,12,21,11,9,26,2,16,29,31,1,8,33,18,7,1,32 4,14,1,6 3,28,1 22,6,25,17,23,5,4,20]","[34,32 4,18,27,10,15,1,1 22,11,25,5,5,19,12,2,14,21,13,2,1,9,33,31,0,7,4 7,6,24,3,30,1,26,7,6,6 3,4,23,17,7,7,20,1,35,29,0,16,4,8,28]"
 53, 8,28,  5,  4,  0,    psoN, 49,0.08,   0.491,"[7,24,0,10,2,4,3,19,15,4 7,13,6,0,30,7,1,27,35,5,7,34,12,21,11,9,26,2,16,29,31,1,8,33,18,7,1,32 4,14,1,6 3,28,1 22,6,25,17,23,5,4,20]","[34,32 4,18,27,10,15,1,1 22,11,25,5,5,19,12,2,14,21,13,2,1,9,33,31,0,7,4 7,6,24,3,30,1,26,7,6,6 3,4,23,17,7,7,20,1,35,29,0,16,4,8,28]"
 74, 5,16, 16,100,   , combine, 54,0.27,   0.001,"[6,1 0,2,7,0 3,0 4,2 2,15,0,3 1,1,8,4,0,4 4,0,3 0,2 2 3,1,17,4,5,0 0,13,11,3 3,1 3,3,2 0,20,2,4,0,4,9,3 4 3,18,4,3,16,4,12,0,19,14,1 1,2,1,3 3,3,1 1,10 3,2 3,1]","[14,4,1 1,5,1,1 0,9,18,1 1,1,2 3,4 4,2,3 4 3,3 0,0,2 0,1 3,12,3,0,2 2,4,0 3,2,3,17,7,4,3 3,0 0,0 4,4,1,0,13,3,10 3,2 2 3,16,15,1,0,11,4,2,8,20,4,19,3 3,6,3 1,0]"
 74, 5,16, 16,100,   ,combineS, 54,0.27,   0.001,"[6,1 0,2,7,0 3,0 4,2 2,15,0,3 1,1,8,4,0,4 4,0,3 0,2,2 3,1,17,4,5,0,0 13,11,3 3,1 3,3,2 0,20,2,4,0,4,9,3 4 3,18,4,3 16,4,12,0,19,14,1 1,2,1,3 3,3,1 1,10 3 2,3,1]","[14,4,1 1,5,1,1 0,9,18,1 1,1,2 3,4 4,2,3 4 3,3 0,0,2 0,1 3,12,3,0,2 2,4,0 3,2,3,17,7,4,3 3,0,0,0 4,4,1,0 13,3,10 3 2,2,3 16,15,1,0,11,4,2,8,20,4,19,3 3,6,3 1,0]"
