Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2118492891561225e-4,4.153746297841299e-4,4.3139380194388285e-4,2.863704620036161e-5,1.5924612135009225e-5,5.0694491090970935e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,4.364847196351596e-3,4.168803218919783e-3,4.6707791606473295e-3,8.566720272113981e-4,6.129006376304477e-4,1.259401250985725e-3
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.836015521895694e-3,8.672063170902557e-3,9.10641673429503e-3,6.802198802325865e-4,5.538215310913339e-4,8.86578915935068e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.35433547639334e-4,8.282766348176322e-4,8.466856049685102e-4,3.298205047060817e-5,2.5434158997076648e-5,4.505409967076399e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.4024063907482278e-3,2.3778068965442305e-3,2.4276127279576304e-3,9.103712454374744e-5,7.782852854211359e-5,1.1332002250256175e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,5.4118829269199344e-2,5.1453656491716966e-2,5.7216691845665434e-2,6.624041564271902e-3,5.241724385337937e-3,8.803166517701997e-3
