Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=60 #rep=5 #sing=5 shuffle=Chars)/combine,2.188088561965118e-4,2.183267521431969e-4,2.1920865870428736e-4,1.5868396489454887e-6,1.340044199585941e-6,1.958963587861472e-6
(size=60 #rep=5 #sing=5 shuffle=Chars)/combineS,7.577471123887157e-4,7.552571751802784e-4,7.603140503278475e-4,9.365060856252959e-6,8.015543003854355e-6,1.1706357749708278e-5
(size=60 #rep=5 #sing=5 shuffle=Chars)/greedy,6.896827720130691e-3,6.792766229735133e-3,6.962713995484995e-3,2.6129276793681477e-4,2.1026927446746825e-4,3.560393426345437e-4
(size=60 #rep=5 #sing=5 shuffle=Chars)/pso,19.843258191062375,17.484094056000004,22.76586797549976,2.946226038564646,1.201195956131643,4.065911458962572
(size=60 #rep=5 #sing=40 shuffle=Chars)/combine,3.0641928340839397e-4,3.061082121653679e-4,3.0685977258835623e-4,1.4054990751993372e-6,1.1150848417437005e-6,1.943502906932894e-6
(size=60 #rep=5 #sing=40 shuffle=Chars)/combineS,7.634844361365708e-4,7.604315261715214e-4,7.659554354130115e-4,9.759012703975051e-6,7.636573026877662e-6,1.2506671402748145e-5
(size=60 #rep=5 #sing=40 shuffle=Chars)/greedy,1.400474794365411e-2,1.3877608212679499e-2,1.4167963219366747e-2,4.487376614450111e-4,3.4321976960065314e-4,7.547974225425696e-4
(size=60 #rep=5 #sing=40 shuffle=Chars)/pso,0.2671804816016769,0.18670440515100623,0.3748070477278791,0.12480700106727505,8.825905260676165e-2,0.18274566462447125
