Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.1403692711159393e-4,4.131753221766647e-4,4.1477278731518217e-4,2.62863733485801e-6,2.2804967735583633e-6,3.270062133113134e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.5898775466865953e-3,3.527774501225545e-3,3.647555172927184e-3,2.2222817248167398e-4,1.8220473282786528e-4,2.8137868227634907e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.415752746395649e-3,8.320498322908402e-3,8.498048182986315e-3,3.09681855564246e-4,2.4493705535141424e-4,4.043222148171911e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,7.943603530660867e-4,7.905723156850994e-4,7.976815670717183e-4,1.3280738399685134e-5,1.0576184077171668e-5,1.934186714040221e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.3120638456822435e-3,2.298110334592151e-3,2.3252048905357025e-3,5.149051145574788e-5,4.06024617605782e-5,7.759705763095434e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.8269919917472336e-2,4.771658174893092e-2,4.8895671930926574e-2,1.3247894872542277e-3,1.05135665577643e-3,1.7058709338370565e-3
