Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2158896526562815e-4,4.206879676492602e-4,4.224924046814035e-4,3.4137382560679196e-6,2.7951045647351295e-6,4.742131252007598e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.8137536612767435e-3,3.7568778277439906e-3,3.8628641265103444e-3,1.9912490105782141e-4,1.6678624753043578e-4,2.632438391007722e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.453357540858778e-3,8.388312695625965e-3,8.522291087649245e-3,2.2152599958111816e-4,1.800954857799028e-4,2.9628426811853384e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.332668653181133e-4,8.299146924772821e-4,8.379794070552805e-4,1.5534548541353125e-5,1.2647040463578381e-5,2.106744918633957e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.416288236889919e-3,2.4016324941443486e-3,2.434742181285291e-3,6.181129262012947e-5,4.571637108525645e-5,8.724031524346713e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.697700695841392e-2,4.562045150685826e-2,4.779319773169933e-2,2.35919020158659e-3,1.39791974676037e-3,3.849945341744239e-3
