Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.104827912200921e-4,4.0493937445924393e-4,4.211330219890612e-4,2.5856389611358015e-5,1.2541253273464714e-5,4.636879237797641e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.4949652247933337e-3,3.453789170994022e-3,3.543322435128749e-3,1.5343693497345569e-4,1.2763844936721495e-4,2.0024930826236643e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.130974014812291e-3,8.060349587238641e-3,8.197340520685778e-3,2.338545273392633e-4,1.9297675954384305e-4,3.1687075478494035e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,7.641878078695644e-4,7.616518571338344e-4,7.674958915125209e-4,1.0555052078458414e-5,8.983286023063199e-6,1.2397798331191474e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.1934408884184096e-3,2.181129460202232e-3,2.204202419575004e-3,4.315860234316318e-5,3.517309007216141e-5,5.207415123751197e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.741926235829251e-2,4.614988188381237e-2,4.913737449193467e-2,3.0677141200266145e-3,2.2400169128441207e-3,4.216996659517529e-3
