Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5)/combine,4.0170672445437626e-4,4.009249878409573e-4,4.034199428808442e-4,3.873025241127674e-6,2.4097878168160015e-6,6.771008840547217e-6
(size=100 #rep=2 #sing=5)/combineS,3.747617282408079e-3,3.6973690123381126e-3,3.827730692852477e-3,2.1972020596899174e-4,1.6539661890836962e-4,3.2409889652505546e-4
(size=100 #rep=2 #sing=5)/greedy,8.757499774267348e-3,8.651104032257195e-3,8.833144075031532e-3,2.971830137547047e-4,2.2093742155199455e-4,4.357423296391887e-4
(size=100 #rep=2 #sing=60)/combine,7.52169425147341e-4,7.47656258932202e-4,7.578228843728734e-4,1.865533357815599e-5,1.4035792083643736e-5,2.4381471398665893e-5
(size=100 #rep=2 #sing=60)/combineS,2.4543736435429365e-3,2.411864689119912e-3,2.52763164560594e-3,2.1181712858394275e-4,1.756157010562096e-4,2.976932479118275e-4
(size=100 #rep=2 #sing=60)/greedy,4.9061404050099476e-2,4.802727177334897e-2,5.138394511279493e-2,3.4389180396121382e-3,2.2877319352675785e-3,4.761286617677334e-3
