Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Blocks)/combine,2.555644139764715e-4,2.541412271134658e-4,2.567368592979355e-4,4.314195153844249e-6,3.656244581981286e-6,5.335143600853865e-6
(size=100 #rep=2 #sing=5 shuffle=Blocks)/combineS,2.8242165201279464e-3,2.72609579088953e-3,2.946279991884719e-3,4.150555258047275e-4,3.1404620100248674e-4,5.301015132063762e-4
(size=100 #rep=2 #sing=5 shuffle=Blocks)/greedy,7.995491755872196e-4,7.906276543173484e-4,8.273846383832713e-4,5.504468538730053e-5,2.7703168726338157e-5,1.0360274025847054e-4
(size=100 #rep=2 #sing=60 shuffle=Blocks)/combine,1.7777412216943934e-4,1.7701866552248083e-4,1.7867110712642263e-4,2.55418806781405e-6,2.1114309542264535e-6,3.652484960755487e-6
(size=100 #rep=2 #sing=60 shuffle=Blocks)/combineS,7.998037398491304e-4,7.978094332874165e-4,8.012242032001315e-4,6.064861083491898e-6,5.240224569739071e-6,7.861254643404429e-6
(size=100 #rep=2 #sing=60 shuffle=Blocks)/greedy,3.692203426222196e-4,3.67556681607276e-4,3.7105956013698164e-4,6.130233761176278e-6,5.198769373832227e-6,7.4529439200781205e-6
