Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=1000 #rep=2 #sing=5 shuffle=Blocks)/combine,2.1140763379429488e-2,2.013058449636771e-2,2.2100189248117682e-2,2.5283631306022717e-3,1.9757186713401692e-3,3.269594231417291e-3
(size=1000 #rep=2 #sing=5 shuffle=Blocks)/combineS,3.7604615571666784,0.9535432542500075,9.19575012049998,5.3723581230888104,2.3228991603948757e-2,6.2877451261295265
(size=1000 #rep=2 #sing=5 shuffle=Blocks)/greedy,2.3287782843036054e-2,2.2174830615941225e-2,2.4341048528485478e-2,2.899276759818509e-3,2.335089899343667e-3,3.938824329665693e-3
(size=1000 #rep=2 #sing=60 shuffle=Blocks)/combine,1.88361526227761e-2,1.7964344116720866e-2,1.970286622632714e-2,2.342467422479561e-3,1.9413716018622147e-3,2.9035000782003245e-3
(size=1000 #rep=2 #sing=60 shuffle=Blocks)/combineS,0.20142144849636204,0.19799417947105477,0.20672977317501998,6.940066080029446e-3,1.9137450764750335e-3,9.066676642917604e-3
(size=1000 #rep=2 #sing=60 shuffle=Blocks)/greedy,1.8813625180451612e-2,1.8227011935713276e-2,1.94389922370906e-2,1.7984012263064092e-3,1.450154322361745e-3,2.2864768135569865e-3
