Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5)/combine,4.0172725678282645e-4,4.001636564483462e-4,4.0432700818325215e-4,6.442179548925675e-6,4.505421375077423e-6,1.0346093770610446e-5
(size=100 #rep=2 #sing=5)/combineS,3.650777112148703e-3,3.606419737789055e-3,3.7138971492702505e-3,1.8917820047621768e-4,1.5347372478595732e-4,2.2688576537383857e-4
(size=100 #rep=2 #sing=5)/greedy,8.5756435565369e-3,8.48400064895885e-3,8.716789109112638e-3,3.6664294805419144e-4,2.5258280053035116e-4,4.8779588503032373e-4
(size=100 #rep=2 #sing=60)/combine,7.427191641710955e-4,7.39726902954138e-4,7.458541501441125e-4,1.1490538651735817e-5,9.7293663692546e-6,1.3877041096760012e-5
(size=100 #rep=2 #sing=60)/combineS,2.2700436074621208e-3,2.258063084352258e-3,2.283038139402151e-3,4.9036903278634395e-5,3.805835900248064e-5,6.5073527300489e-5
(size=100 #rep=2 #sing=60)/greedy,4.825854092501574e-2,4.744464089285095e-2,4.8851595651082144e-2,1.4774888353063231e-3,1.0903607963817904e-3,1.9216752849092087e-3
