Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2419551506760173e-4,4.190476835890217e-4,4.3273054501098647e-4,2.2394984691909117e-5,1.5680416006326635e-5,3.156997972345094e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.5853107503828452e-3,3.5289296619964703e-3,3.631708356666355e-3,1.9272406869096898e-4,1.630688596027568e-4,2.4390756670821916e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.423953937773848e-3,8.318358458769336e-3,8.521251971200568e-3,3.0283827517198534e-4,2.5400699958480857e-4,3.88577884299198e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,7.94599361093753e-4,7.911205878786497e-4,8.023081145702775e-4,1.8742409134343644e-5,1.289468143644414e-5,3.064990913619356e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.4486935323970844e-3,2.423498903709885e-3,2.495062380946838e-3,1.2271392145699026e-4,7.404232082712091e-5,2.1953534545514694e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,5.128877529629581e-2,5.0031087272183805e-2,5.305680804524365e-2,3.394279685801233e-3,2.49638612499768e-3,5.091123717668059e-3
