Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2463381682444207e-4,4.23224586827439e-4,4.2558954817438634e-4,3.645800228819554e-6,3.0611206755291092e-6,4.597154175379066e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.7440088734304413e-3,3.6834166954149115e-3,3.808994846250106e-3,2.197432180525958e-4,1.6943180037198806e-4,3.11686337283329e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.157207653605496e-3,8.072867482532648e-3,8.23650586489764e-3,2.751109896116693e-4,2.2507074615287547e-4,3.284536391670233e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.304045691181819e-4,8.264860654835191e-4,8.33663229927014e-4,1.2987396125325715e-5,1.080422792406099e-5,1.6518532537795206e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.411284039263748e-3,2.398122566727598e-3,2.4278658835359644e-3,5.923775872812303e-5,4.863688181807514e-5,7.482347342962101e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.855904943399571e-2,4.74940206746993e-2,4.91453167897833e-2,1.579197597188369e-3,1.2851936256659932e-3,2.0627942010366124e-3
