size,repeats,singles,heuristic,blocks,score
1000,2,5,combine,218,0.7827827827827828
1000,2,5,combine,95,0.9059059059059059
1000,2,5,combine,130,0.8708708708708709
1000,2,5,combine,104,0.8968968968968969
1000,2,5,combine,174,0.8268268268268268
1000,2,5,combine,207,0.7937937937937938
1000,2,5,combine,200,0.8008008008008008
1000,2,5,combine,242,0.7587587587587588
1000,2,5,combine,194,0.8068068068068068
1000,2,5,combine,232,0.7687687687687688
1000,2,5,combine,76,0.924924924924925
1000,2,5,combine,3,0.997997997997998
1000,2,5,combine,173,0.8278278278278278
1000,2,5,combine,121,0.8798798798798799
1000,2,5,combine,141,0.8598598598598599
1000,2,5,combine,253,0.7477477477477478
1000,2,5,combine,103,0.8978978978978979
1000,2,5,combine,187,0.8138138138138138
1000,2,5,combine,152,0.8488488488488488
1000,2,5,combine,235,0.7657657657657657
1000,2,5,combine,249,0.7517517517517518
1000,2,5,combine,59,0.9419419419419419
1000,2,5,combine,133,0.8678678678678678
1000,2,5,combine,256,0.7447447447447447
1000,2,5,combine,30,0.970970970970971
1000,2,5,combine,191,0.8098098098098098
1000,2,5,combine,183,0.8178178178178178
1000,2,5,combine,252,0.7487487487487487
1000,2,5,combine,16,0.984984984984985
1000,2,5,combine,55,0.9459459459459459
1000,2,5,combine,253,0.7477477477477478
1000,2,5,combine,3,0.997997997997998
1000,2,5,combine,148,0.8528528528528528
1000,2,5,combine,258,0.7427427427427428
1000,2,5,combine,65,0.9359359359359359
1000,2,5,combine,160,0.8408408408408409
1000,2,5,combine,237,0.7637637637637638
1000,2,5,combine,93,0.9079079079079079
1000,2,5,combine,221,0.7797797797797797
1000,2,5,combine,202,0.7987987987987988
1000,2,5,combine,236,0.7647647647647647
1000,2,5,combine,88,0.9129129129129129
1000,2,5,combine,164,0.8368368368368369
1000,2,5,combine,16,0.984984984984985
1000,2,5,combine,244,0.7567567567567568
1000,2,5,combine,239,0.7617617617617618
1000,2,5,combine,212,0.7887887887887888
1000,2,5,combine,73,0.9279279279279279
1000,2,5,combine,206,0.7947947947947948
1000,2,5,combine,214,0.7867867867867868
1000,2,5,combine,230,0.7707707707707707
