Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.1356426839945186e-4,4.1265622479116123e-4,4.1485015610588286e-4,3.5156488120079357e-6,2.911824234953492e-6,4.3553242827910265e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.6381928141001546e-3,3.5729746006009206e-3,3.7231469987279507e-3,2.7688438519516496e-4,2.1071443454141305e-4,4.2101515618907714e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.541588719170394e-3,8.45243303840777e-3,8.623497453060536e-3,2.751112917913946e-4,2.144179863712991e-4,3.6702027334111604e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.036809134772362e-4,7.999027332889924e-4,8.086032495927117e-4,1.572783475327639e-5,1.2955137251975453e-5,1.9426718323487586e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.3527873573333056e-3,2.333155651932891e-3,2.3693919113498356e-3,6.582660342817478e-5,5.7535908778220236e-5,7.802925067861841e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.834250510490257e-2,4.7861037349802106e-2,4.907711082644426e-2,1.355062174342896e-3,1.0447242862178623e-3,1.950220370356108e-3
