size,repeats,singles,heuristic,blocks,score,time,left,right
 60, 5, 5, combine, 36,0.41,   0.001,"[4 0,2 1 0,4 3,2 4,1,9,4,1 0,2 2,4,1 2,1,0 1,1,0 4,2,5,1 2 0 2 1,6,4 0 3,1 3,1,7,2,3 2 2,0 4,3 4,1 8,3,2,4,0 3,2,2 0,2,0]","[0,2 0,4 0 3,1 0,9,2 1 0,2,0 1,4 0,2 4,4,2,1 2 0 2 1,3 4,7,1,1 3,2,1,6,0 4,2 2,5,3 2 2,2,4 3,1 2,3,1,1,4,4,2,1 8,0 3,0 4]"
 60, 5, 5, combine, 34,0.44,   0.001,"[1 1,2 2,2 2,1,1 4,3 0,0,5,4 1,4 4,0 4 2,1 3 4,9,2 1,2 3,4 4,0,4 4,3 3,4,4 8,0 2,3 1,7,1,2 3 1,2 3,6,3 4 3,2,0 3 3,1,4,0]","[9,4 8,1 3 4,4 1,0,0,6,2 2,4,1 4,2 1,2 2,4 4,3 0,1,2 3,0 2,3 3,3 1,4,0 3 3,3 4 3,1,4 4,1 1,5,7,2,2 3 1,0 4 2,4 4,2 3,1,0]"
 60, 5, 5, combine, 37,0.39,   0.001,"[4,1 3,0 2,2 3,1 3 0 3,3 4,2 3 0,1 4 4 4,2,6 2,0 4,0,2 2,3 3,0 0 3,0,7,9,4 0,3 0,4 3,2,1,2,1,3 2,3,5 4,1,2,3,4,3,4,8,1,3]","[3,1,7,1,1,1 3,3 3,3 2,0 4,3 0,1 4 4 4,0 0 3,1,4,2,0,8,4,2 2,2 3 0,0 2,9,3,2,4 0,0,1 3 0 3,4,6 2,2,4 3,5 4,2 3,3,2,3 4,3]"
 60, 5, 5, combine, 38,0.37,   0.001,"[4 4,2 1,1,6,1 2,1 0,2,0 4,1 4,3,7,0 2,1 4 2,0,4 0 2 3,4,1 1,2,4 2,3,4,8,4 4 4,1,2 1,2,4,1,3 0,1,3 1,5,2,1,0,4 2,4 3,9 3]","[1 4 2,4 4,4 4 4,4 2,7,1 4,4,0 2,4 3,3 1,1 0,5,1 1,4 2,9 3,1,1,4,3 0,2 1,4 0 2 3,1,1,4,0,2,2 1,1 2,3,8,0,2,2,2,6,0 4,3,1]"
 60, 5, 5, combine, 34,0.44,   0.001,"[0 1 4,0 1,4,9 1,2,4 2,3 2,0 4 2,2 0,2 1 0 3,3 3,3 3,7,0 2,6,3 0,0,1 2,0 3,8,2 0,0,5,4,0 2,0,2,1 1,3 0,3 2 3 1,1,1 2,1,3]","[2 1 0 3,1 2,3 0,5,8,0,9 1,1 1,2,3,1,4 2,1 2,2,3 0,0 3,3 2 3 1,4,2 0,3 3,6,4,0 1 4,3 2,0 2,2 0,7,0 4 2,0,0 1,0 2,3 3,1,0]"
 60, 5, 5, combine, 41,0.32,   0.000,"[2,0,5,2 4 2,1 0,1 4,2 3,4,6,2 3,3 3,0 1,2,4 1,1 2,0,2 3,4 0,1 3,3,2,3,3,2,3,1,9 3 0,3 0,1,4 1,0 4,0,8,1,0,2,1 3,7,4,2,0]","[2,7,4 1,2 3,1,5,0,3 0,0,1 0,0,3,4 0,0 4,3 3,2,1 2,1 3,1,2 3,1 4,4,3,4,2 4 2,2,9 3 0,4 1,2,8,2 3,1,2,2,6,1 3,0 1,3,0,0,3]"
 60, 5, 5, combine, 36,0.41,   0.000,"[3 0,3 8,2 4 0 3,5,4 0,0 0,3 0,3 4,2 2 2,3,4 2 3,2,0 3,0 0,4 0,2,4,7,1 0,2 6,4 1,1 3,2 3 2,4,1 4,9,0,2,1,2,1,3,1,0,4 3,3]","[0,1 0,3 0,1,1,2 6,2,7,3 8,0,4 2 3,1,0 3,2 2 2,2,9,3,1 4,4 1,4 0,3,3,3 0,4 3,2 3 2,0 0,2 4 0 3,4,4,4 0,5,0 0,2,2,3 4,1 3]"
 60, 5, 5, combine, 38,0.37,   0.000,"[3 0,2 0,4 3,4,3 3,7 4,1 3 1,1 1,6 0,4 1,2 1,4 2,0 1,5,2,1,9,3 4,1,4 0,0,0,0 4,1,1,0,4 2,0 2 4,2,8 1,4,0,4,3,4,3,1,3 0 3]","[2 0,0,8 1,4 1,0,1 1,4,4,1,7 4,9,3 0,1,2 1,0,0 1,4 3,2,3 3,0 2 4,4 0,1,1 3 1,4 2,4,1,0 4,4 2,3,3,6 0,0,3 0 3,2,3 4,4,5,1]"
 60, 5, 5, combine, 38,0.37,   0.001,"[4 3,3 4,9,2 3,4,2,4,3 0,4,2,3,0 1,3,0,1 0,7 0,4 8,5,1 4 1,0 3 4,0 2,1 4,1 3,1,2 1,2,4,1,4 0 4,3 4,4,1,2 2,3,0 0,6,0,1 1]","[0 2,2,3 4,1 1,1,0 1,3 0,2,6,3 4,1 3,1 4 1,2,0,4,1 0,0,2 1,4 8,3,1,3,3,1,5,0 3 4,4,4 0 4,4,0 0,2 2,1 4,4,2 3,9,4,7 0,4 3]"
 60, 5, 5, combine, 40,0.34,   0.000,"[3 1,1 3,2 0,3 4,3 1,6,1 4,1 3,3 1 0 4,3,2,0,0 1,4 2,3,1 4,4 4,3 4,5,2,3,0,8,7,1 2,4 0,0,4 4,1,4,2,3,2 1,9,0,0 3,1,3,2,4]","[0,7,2 0,4,4 2,1 3,0 3,3,5,4 4,2,2,1 2,3 1,3,0 1,1 4,2,3 4,1,2 1,0,2,8,0,1 3,0,3,6,4 0,4,1 4,1,9,3,3,3 4,4 4,3 1,3 1 0 4]"
