Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.508278149932992e-4,4.398652451059239e-4,4.6571705528068084e-4,3.967929410070564e-5,2.651609800768763e-5,5.304670715100746e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.951580112070049e-3,3.889489640321401e-3,4.0329695195273855e-3,2.4585926450499757e-4,1.8833368374111814e-4,3.530895011635916e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.628477022118866e-3,8.48327541998889e-3,8.746417473445666e-3,3.771746895585052e-4,3.03946412432366e-4,4.92453406289511e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.30887210187651e-4,8.26437725801014e-4,8.388430989395221e-4,1.747294821668716e-5,1.3610137422886184e-5,2.4346783247316814e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.4911009904117977e-3,2.474336262535056e-3,2.512240273924796e-3,6.470063257812032e-5,5.078662126462501e-5,9.181386907914678e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.805714372886478e-2,4.7546391460260795e-2,4.8651961826263565e-2,1.318052806101915e-3,1.0615311031022159e-3,1.682396687829343e-3
