Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2256918876474724e-4,4.2114751651113635e-4,4.246427736209552e-4,6.186394761992497e-6,3.152917173392374e-6,1.109502747510485e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.8690975507104084e-3,3.7955073064521376e-3,3.9312722754084985e-3,2.4355694179464978e-4,1.9885966707629604e-4,3.00552235377011e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.345106635464538e-3,8.27260727734613e-3,8.430449708976565e-3,2.6683863088337563e-4,2.103730497540656e-4,3.876443149083134e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.247387369508608e-4,8.20365022168653e-4,8.281903063205399e-4,1.4252294398457767e-5,1.1956548264430787e-5,1.7342388713626213e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.4139546913959664e-3,2.4006624123324846e-3,2.4251513580992104e-3,4.8988156479736604e-5,3.96551005960797e-5,6.047263227162846e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.611286257588156e-2,4.5490409804116186e-2,4.687320766025858e-2,1.7531780135341538e-3,1.3435178004670492e-3,2.457376440992311e-3
