Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2798909498167203e-4,4.242013911306126e-4,4.357688882760821e-4,1.5982643138951963e-5,8.810795951085847e-6,2.7601402759293522e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.8446475328238056e-3,3.7857803059671157e-3,3.9106882818740595e-3,2.1376785859949992e-4,1.7617680012045505e-4,2.809633214853182e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.651183980397024e-3,8.484359031046839e-3,8.863309535092784e-3,5.615800293172933e-4,4.0463040445865435e-4,7.185802899721065e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.37037900634382e-4,8.313580961798547e-4,8.426832322453719e-4,2.029905239312823e-5,1.6397373770026925e-5,2.782830064028249e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.4189321237386686e-3,2.4010216428026828e-3,2.4348509760136303e-3,6.632735518935e-5,5.6071459890451586e-5,8.241970387493353e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.60409312957557e-2,4.528012676008236e-2,4.697873381702203e-2,2.0571682594120806e-3,1.2297327550732143e-3,3.102020267975675e-3
