Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2205686252829084e-4,4.2135354365836726e-4,4.227017349898242e-4,2.271563640944944e-6,1.8817502807313469e-6,3.0659927370016163e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.7713316512531362e-3,3.7211136363889718e-3,3.8194921330313566e-3,1.8073315662987108e-4,1.4932411621251896e-4,2.185839479952165e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.244668509863001e-3,8.17177464444778e-3,8.31365534629808e-3,2.3812409309123468e-4,2.010089585061247e-4,2.8540787822215694e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.407532182718087e-4,8.355805255779124e-4,8.466427583094778e-4,2.1262286589277152e-5,1.717407214911836e-5,2.7021235049574786e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.422641038721411e-3,2.4042891380933224e-3,2.4396790901878487e-3,6.597559134178543e-5,5.4492003966745565e-5,8.983554538769411e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.707843967074457e-2,4.620986427191536e-2,4.7853756753852374e-2,2.0169389494615903e-3,1.4927839129154847e-3,2.8623676430307777e-3
