Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.074138142594215e-4,4.0634894687318734e-4,4.0855497219138766e-4,4.0927937558212e-6,3.3116212002860515e-6,5.2011695753066485e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.7908253005085662e-3,3.731081848902468e-3,3.8554366165712665e-3,2.261051154838748e-4,1.8629542948469158e-4,3.143865332152687e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.753254919835168e-3,8.677831903369028e-3,8.836104912538783e-3,2.6042195866695435e-4,1.8092038659693347e-4,3.669155829693857e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.086767419447029e-4,8.044829531864828e-4,8.125141822725096e-4,1.4198468872032849e-5,1.1112545992424495e-5,1.844293825305363e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.307738768184672e-3,2.2900950592618426e-3,2.3229393786467953e-3,5.619293142291526e-5,4.596921933719779e-5,7.659921964853019e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.749295607812509e-2,4.6750787360628994e-2,4.810723719099373e-2,1.571848190398529e-3,1.2473350197428588e-3,2.087791511767864e-3
