Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.1162990269985323e-4,4.1081571742571983e-4,4.123510522311883e-4,2.8632439895664954e-6,2.3942774497183576e-6,3.5823968390633575e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.6117247234305604e-3,3.564577347275677e-3,3.6592790565221356e-3,1.819477017913493e-4,1.5824272586212286e-4,2.3760714662113375e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.789860953598141e-3,8.720300255263434e-3,8.90342250956576e-3,2.7889700032638026e-4,2.1339232601195394e-4,3.8520840633957077e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.248188745235108e-4,8.200123118800429e-4,8.287858949615085e-4,1.469518168775001e-5,1.2259882707515543e-5,1.9918649990153004e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.302121807119588e-3,2.2886123641525026e-3,2.3182984859413548e-3,5.51129891514876e-5,4.524224001076925e-5,7.205698040179187e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.728481069471398e-2,4.672455298517074e-2,4.785988381488608e-2,1.368391522745142e-3,1.03895400817941e-3,1.8180763895358127e-3
