Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,5.02951128318428e-4,4.892056126214293e-4,5.165126601959013e-4,5.065837842007201e-5,4.4573792311021264e-5,5.817145404777086e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,4.412734772677373e-3,4.267041304144965e-3,4.65579399287672e-3,6.586981083719547e-4,5.209032637998838e-4,8.579764530013484e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,9.276917099553524e-3,8.959499242195254e-3,9.570903948134125e-3,1.0374889664075443e-3,8.255937089948338e-4,1.3148676058769735e-3
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,1.0511262236191584e-3,9.787384512128677e-4,1.1778528629988161e-3,3.667976307024853e-4,2.4623741483290133e-4,5.025843702040001e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.5791659495958867e-3,2.536012098346319e-3,2.651381463704549e-3,2.088338460322814e-4,1.498271022593045e-4,3.1215002425604864e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.977819617737954e-2,4.7919573499259405e-2,5.181146281350556e-2,4.220029988168483e-3,3.237139985185628e-3,5.61988922800388e-3
