Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.1259649321351787e-4,4.114045820244704e-4,4.1442420346938846e-4,4.451656187297688e-6,2.8807385824041175e-6,7.662964034527944e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.7083861509615824e-3,3.6556507198574778e-3,3.748279510575012e-3,1.4931698752247244e-4,1.2676286766537937e-4,1.762082268868564e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.745546915397244e-3,8.658826263825393e-3,8.870361796531353e-3,3.3937856873389417e-4,2.3784453600571268e-4,5.180408979799922e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.209805216773668e-4,8.175870992754141e-4,8.237895812687042e-4,1.2441830388185198e-5,1.046396795547412e-5,1.5293026835405453e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.28406062468911e-3,2.27047740120909e-3,2.3006594887989918e-3,5.457799318998842e-5,4.346429981529403e-5,7.140885166146245e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.603698400485482e-2,4.5435335852845864e-2,4.652574932206207e-2,1.3290877501781137e-3,9.806038788241535e-4,2.03966981754851e-3
