Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Blocks)/combine,2.5477909097411996e-4,2.534402066389218e-4,2.563331092529756e-4,4.9239210861741026e-6,4.1220331962686045e-6,6.702887656559324e-6
(size=100 #rep=2 #sing=5 shuffle=Blocks)/combineS,2.8188613341399585e-3,2.739484764863817e-3,2.9099050520033833e-3,3.257336644697144e-4,2.803929748271816e-4,4.446313900339749e-4
(size=100 #rep=2 #sing=5 shuffle=Blocks)/greedy,7.912940743520333e-4,7.852669344309338e-4,7.990108040657383e-4,2.353558602030204e-5,1.9944556271798394e-5,3.138225324626502e-5
(size=100 #rep=2 #sing=60 shuffle=Blocks)/combine,1.7710110196107092e-4,1.763516031601473e-4,1.7784412244564425e-4,2.3034314638105243e-6,1.8829972097725408e-6,3.1424474547599492e-6
(size=100 #rep=2 #sing=60 shuffle=Blocks)/combineS,7.988440929717855e-4,7.973010498747856e-4,8.003251790962148e-4,6.059876235199381e-6,5.079831849971367e-6,7.588726884146399e-6
(size=100 #rep=2 #sing=60 shuffle=Blocks)/greedy,3.6750001655237664e-4,3.6558501304059343e-4,3.702321691833252e-4,8.659134099317284e-6,7.177640208301168e-6,1.0407785687082249e-5
