Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/combine,4.2284726399117464e-4,4.219311927363843e-4,4.238478306660015e-4,3.557026040349751e-6,2.7045312372542173e-6,5.206534836648173e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/combineS,3.8125344287652466e-3,3.7462768393127384e-3,3.886251472806984e-3,2.559520698892411e-4,1.9069057064867337e-4,4.3591304198112454e-4
(size=100 #rep=2 #sing=5 shuffle=Chars)/greedy,8.32975125451783e-3,8.227049010316007e-3,8.461006376416785e-3,3.955904798454247e-4,2.86592713540452e-4,5.929802295956713e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/combine,8.376980989104701e-4,8.332111778649425e-4,8.423600797489812e-4,1.7861362654665047e-5,1.4876160253817145e-5,2.3428665673991224e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/combineS,2.4799637535445718e-3,2.450858716631534e-3,2.535352749766892e-3,1.618160179814288e-4,1.009774135098509e-4,2.788266179421139e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/greedy,4.8043971673433494e-2,4.6340399713421014e-2,5.097992632528031e-2,4.795118381138363e-3,2.442310668998532e-3,7.812267470234665e-3
